Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S2,DUA,61,,,,,,,,,,,,,,,,,,,,,,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,0.083074896,,,,,,
S2,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,51.0,,,,,
S2,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,37,0.578125,27.0,0.421875,0.578125,2,,,64.0,,,,,
S2,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,54,0.84375,10.0,0.15625,0.84375,2,,,64.0,,,,,
S2,RoTTA,61,,,,,,,,,,,,,,,,,,,,,,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,64.0,,,,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,64.0,1.0,0.5881431102752686,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,37,0.578125,27.0,0.421875,0.578125,2,,,,64.0,1.0,0.5656344294548035,,
S2,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,54,0.84375,10.0,0.15625,0.84375,2,,,,64.0,1.0,0.6529015302658081,,
S2,NOTE,61,,,,,,,,,,,,,,,,,,,,,,3,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2,,,,64.0,0.0,,,
S2,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,50,0.78125,14.0,0.21875,0.78125,2,,,,,,,0.30218181014060974,5.0
