Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
S21,0.6284722222222222,0.3668639053254438,0.7371007371007371,0.5519823212130904,0.6180555555555556,0.5634920634920635,0.6604938271604939,0.6119929453262787,0.5381944444444444,0.5581395348837209,0.5163636363636364,0.5372515856236786,0.6458333333333334,0.4574468085106383,0.7371134020618557,0.597280105286247,0.6805555555555556,0.4025974025974026,0.7819905213270142,0.5922939619622084,0.6840277777777778,0.40522875816993464,0.7848699763593381,0.5950493672646364,0.6180555555555556,0.5669291338582677,0.6583850931677019,0.6126571135129848,0.6180555555555556,0.5669291338582677,0.6583850931677019,0.6126571135129848,0.4236111111111111,0.4195804195804196,0.42758620689655175,0.42358331323848564
S22,0.396,0.0,0.5673352435530086,0.2836676217765043,0.632,0.6541353383458647,0.6068376068376068,0.6304864725917357,0.66,0.750733137829912,0.46540880503144655,0.6080709714306793,0.528,0.5785714285714286,0.4636363636363636,0.5211038961038961,0.36,0.047619047619047616,0.5180722891566265,0.2828456683878371,0.364,0.03636363636363636,0.5253731343283582,0.2808683853459973,0.632,0.6567164179104478,0.603448275862069,0.6300823468862584,0.632,0.6567164179104478,0.603448275862069,0.6300823468862584,0.668,0.7492447129909365,0.5088757396449705,0.6290602263179534
S23,0.551440329218107,0.660436137071651,0.3393939393939394,0.49991503823279526,0.654320987654321,0.7236842105263158,0.5384615384615384,0.6310728744939271,0.5679012345679012,0.6974063400576369,0.2446043165467626,0.47100532830219977,0.5102880658436214,0.6550724637681159,0.15602836879432624,0.40555041628122107,0.5185185185185185,0.6443768996960486,0.25477707006369427,0.4495769848798714,0.5185185185185185,0.6443768996960486,0.25477707006369427,0.4495769848798714,0.6666666666666666,0.7290969899665551,0.5668449197860963,0.6479709548763257,0.6666666666666666,0.7290969899665551,0.5668449197860963,0.6479709548763257,0.48148148148148145,0.5401459854014599,0.4056603773584906,0.4729031813799752
S24,0.5025380710659898,0.5050505050505051,0.5,0.5025252525252526,0.3756345177664975,0.42790697674418604,0.3128491620111732,0.3703780693776796,0.3604060913705584,0.47058823529411764,0.19230769230769232,0.33144796380090497,0.3248730964467005,0.46153846153846156,0.09523809523809523,0.2783882783882784,0.49238578680203043,0.494949494949495,0.4897959183673469,0.4923727066584209,0.49238578680203043,0.494949494949495,0.4897959183673469,0.4923727066584209,0.37055837563451777,0.43119266055045874,0.29545454545454547,0.3633236030025021,0.37055837563451777,0.43119266055045874,0.29545454545454547,0.3633236030025021,0.3096446700507614,0.04225352112676056,0.4603174603174603,0.2512854907221104
S25,0.49795918367346936,0.016,0.663013698630137,0.3395068493150685,0.5469387755102041,0.5934065934065934,0.48847926267281105,0.5409429280397022,0.5265306122448979,0.6258064516129033,0.35555555555555557,0.4906810035842294,0.5469387755102041,0.5110132158590308,0.5779467680608364,0.5444799919599337,0.49795918367346936,0.016,0.663013698630137,0.3395068493150685,0.49795918367346936,0.016,0.663013698630137,0.3395068493150685,0.5142857142857142,0.5703971119133574,0.4413145539906103,0.5058558329519839,0.5142857142857142,0.5703971119133574,0.4413145539906103,0.5058558329519839,0.4,0.2898550724637681,0.48056537102473496,0.38521022174425157
S26,0.768976897689769,0.8195876288659794,0.6788990825688074,0.7492433557173934,0.6633663366336634,0.6982248520710059,0.6194029850746269,0.6588139185728163,0.6864686468646864,0.7382920110192838,0.6090534979423868,0.6736727544808353,0.5841584158415841,0.5434782608695652,0.6181818181818182,0.5808300395256917,0.5742574257425742,0.49411764705882355,0.6324786324786325,0.563298139768728,0.5874587458745875,0.5210727969348659,0.6376811594202898,0.5793769781775778,0.6864686468646864,0.7246376811594203,0.6360153256704981,0.6803265034149593,0.6864686468646864,0.7246376811594203,0.6360153256704981,0.6803265034149593,0.504950495049505,0.34210526315789475,0.6031746031746031,0.47263993316624897
S27,0.42679127725856697,0.576036866359447,0.11538461538461539,0.3457107408720312,0.6137071651090342,0.6395348837209303,0.5838926174496645,0.6117137505852974,0.6573208722741433,0.6875,0.6206896551724138,0.6540948275862069,0.4735202492211838,0.536986301369863,0.3898916967509025,0.4634389990603828,0.4485981308411215,0.585480093676815,0.17674418604651163,0.3811121398616633,0.43302180685358255,0.5787037037037037,0.13333333333333333,0.3560185185185185,0.616822429906542,0.6350148367952523,0.5967213114754099,0.6158680741353311,0.616822429906542,0.6350148367952523,0.5967213114754099,0.6158680741353311,0.4797507788161994,0.5593667546174143,0.3650190114068441,0.4621928830121292
S28,0.36018957345971564,0.0,0.5296167247386759,0.26480836236933797,0.6161137440758294,0.6772908366533864,0.5263157894736842,0.6018033130635353,0.6303317535545023,0.7045454545454546,0.5063291139240507,0.6054372842347526,0.44075829383886256,0.34444444444444444,0.512396694214876,0.4284205693296602,0.3886255924170616,0.0851063829787234,0.5409252669039146,0.313015824941319,0.38388625592417064,0.07142857142857142,0.5390070921985816,0.3052178318135765,0.6445497630331753,0.701195219123506,0.5614035087719298,0.6312993639477179,0.6445497630331753,0.701195219123506,0.5614035087719298,0.6312993639477179,0.4928909952606635,0.4830917874396135,0.5023255813953489,0.49270868441748117
S29,0.6770833333333334,0.7372881355932204,0.581081081081081,0.6591846083371506,0.7552083333333334,0.803347280334728,0.6758620689655173,0.7396046746501226,0.8020833333333334,0.8652482269503546,0.6274509803921569,0.7463496036712558,0.8489583333333334,0.8929889298892989,0.7433628318584071,0.8181758808738531,0.7760416666666666,0.833976833976834,0.656,0.744988416988417,0.7708333333333334,0.8294573643410853,0.6507936507936508,0.7401255075673681,0.8177083333333334,0.8605577689243028,0.7368421052631579,0.7986999370937303,0.8125,0.8571428571428571,0.7272727272727273,0.7922077922077921,0.6666666666666666,0.7037037037037037,0.6190476190476191,0.6613756613756614
S30,0.3119533527696793,0.2625,0.3551912568306011,0.30884562841530055,0.5685131195335277,0.6525821596244131,0.4307692307692308,0.541675695196822,0.6268221574344023,0.7288135593220338,0.40186915887850466,0.5653413591002693,0.6326530612244898,0.7123287671232876,0.49193548387096775,0.6021321254971277,0.3760932944606414,0.3742690058479532,0.37790697674418605,0.3760879912960696,0.3673469387755102,0.35988200589970504,0.3746397694524496,0.36726088767607734,0.5568513119533528,0.6465116279069767,0.40625,0.5263808139534883,0.5568513119533528,0.6465116279069767,0.40625,0.5263808139534883,0.5918367346938775,0.6650717703349283,0.47761194029850745,0.5713418553167179
Average,0.5347753690932094,0.4818874206568642,0.42603635164544085,0.45396188615115257,0.5868150190059512,0.6345428748407831,0.509161586247855,0.5718522305443191,0.5868054991106451,0.6640118414494528,0.4422737615882212,0.553142801518837,0.5649497873106609,0.5634760932012522,0.47204151789722704,0.5177588055492396,0.5404136401425118,0.48456927346476814,0.4452797003230903,0.4649244868939293,0.5386254181573595,0.4826635865784967,0.4416998351831984,0.4621817108808476,0.5829644637786594,0.6318213450413349,0.503214592873765,0.5675179689575499,0.5825469480096082,0.6315405668125477,0.5025485676355309,0.5670445672240393,0.5219488196376864,0.5057746293269925,0.5057185606083651,0.5057465949676787
Std,0.1315139859520813,0.29569729927853394,0.23839711286278972,0.15216981026915724,0.10760367934725194,0.10946583228961375,0.13397506348258692,0.11005886960575191,0.10420835312213844,0.10016085207265192,0.14078207701220893,0.10717621069639374,0.10616254636587374,0.20575781928112297,0.1857516048560645,0.11978116094039935,0.12710860913519875,0.2792854871505944,0.23085589751708513,0.14422451123474753,0.12832610391147872,0.28091016448965406,0.2336717481995809,0.1453465491266578,0.11527789335363686,0.11637707781195542,0.14026694287378627,0.1171536363101625,0.1149579369161748,0.11626477840576188,0.1395852439213931,0.11671936513587529,0.09546890053784667,0.15989310483238187,0.10650124033211553,0.09932243676802051
