Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S11,MIGateOnlyRelaxed,,,,,,,,,,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2,0.08398333936929703,0.3608189120618568,0.8576694130897522,0.7736861109733582,0.391754326381443,0.5,0.10824567361855704,,0.0,0.19999999999999996,1.0,0.5978485345840454,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,63.0,0.984375,0.984375,2.0,0.4791666666666667
S11,MIGateOnlyRelaxed,,,,,,,,,,6,62,0,0.0,0,0.0,62,1.0,1.0,1,0.03201725333929062,0.2610402906257481,0.7002257704734802,0.6682085394859314,0.4216879128122756,0.5,0.07831208718772442,,0.0,0.19999999999999996,1.0,0.46791499853134155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,1.0,0.6666666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.025206688791513443,0.24288953048115838,0.300086110830307,0.27487942576408386,0.42713314085565246,0.5,0.07286685914434751,,0.0,0.048577906096231666,1.0,0.18471956253051758,0.0,1.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.027275709435343742,0.24863823412106467,0.34079036116600037,0.3135146498680115,0.4254085297636806,0.5,0.0745914702363194,,0.0,0.04972764682421292,1.0,0.23244844377040863,0.0,1.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.0725947767496109,0.3424907609934548,0.6628029942512512,0.5902082324028015,0.39725277170196355,0.5,0.10274722829803644,,0.0,0.06849815219869095,1.0,0.6824650764465332,0.0,1.0,0.0,62.0,0.96875,0.0,0.0,2.0,0.03125,0.96875,2.0,0.6666666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,0.06316111981868744,0.32618688523682543,0.8855924606323242,0.8224313855171204,0.40214393442895235,0.5,0.09785606557104763,,0.0,0.06523737704736507,1.0,0.9928718209266663,0.0,1.0,0.0,35.0,0.546875,3.0,0.046875,26.0,0.40625,0.546875,3.0,0.3541666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,4,64,0,0.0,64,1.0,0,0.0,1.0,1,0.02970433048903942,0.2551144986650891,0.9376643300056458,0.9079599976539612,0.4234656504004733,0.5,0.07653434959952674,,0.0,0.05102289973301781,1.0,0.9544447064399719,0.0,1.0,0.0,7.0,0.109375,0.0,0.0,57.0,0.890625,0.890625,2.0,0.6666666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2,0.08429247885942459,0.361298503394363,0.8585500121116638,0.774257481098175,0.3916104489816911,0.5,0.1083895510183089,,0.0,0.07225970067887258,1.0,0.7020120024681091,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.4791666666666667
S11,MIGateAwareRelaxed,,,,,,,,,,6,62,0,0.0,0,0.0,62,1.0,1.0,1,0.03207823634147644,0.2611935837327154,0.7013988494873047,0.6693205833435059,0.42164192488018537,0.5,0.07835807511981462,,0.0,0.05223871674654307,1.0,0.5419954061508179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,1.0,0.6666666666666667
S11,MIDynamicFixedEMARelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.025206688791513443,0.24288953048115838,0.300086110830307,0.27487942576408386,0.7995948995025761,0.10324928830496051,0.09715581219246336,0.11436002989141536,15.544929950794137,0.19999999999999996,1.0,0.20241041481494904,0.0,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIDynamicFixedEMARelaxed,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.027275709435343742,0.24863823412106467,0.340790331363678,0.3135146200656891,0.7043222037413186,0.19622250261025553,0.09945529364842587,0.21789312759965296,31.457776934542274,0.19999999999999996,1.0,0.2762964069843292,0.0,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S11,MIDynamicFixedEMARelaxed,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.07259407639503479,0.3424895912817253,0.6628018021583557,0.5902077555656433,0.5687328622848208,0.2942713012024891,0.13699583651269012,0.34098479897636813,53.37711077657269,0.19999999999999996,1.0,0.8590127229690552,0.0,0.0,1.0,45.0,0.703125,3.0,0.046875,16.0,0.25,0.703125,3.0,0.6666666666666667
S11,MIDynamicFixedEMARelaxed,,,,,,,,,,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,0.06315384805202484,0.3261738643657576,0.8855428099632263,0.8223889470100403,0.4868021355774836,0.3827283186762133,0.13046954574630307,0.44015516282831346,74.25223809598118,0.19999999999999996,1.0,0.912306547164917,0.0,0.0,1.0,3.0,0.046875,7.0,0.109375,54.0,0.84375,0.84375,3.0,0.3541666666666667
S11,MIDynamicFixedEMARelaxed,,,,,,,,,,4,64,0,0.0,64,1.0,0,0.0,1.0,1,0.029706228524446487,0.2551194543079677,0.9377655386924744,0.908059298992157,0.4425093174284779,0.45544290084833505,0.10204778172318707,0.5072017102673219,90.57988317169111,0.19999999999999996,1.0,0.7303646802902222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.6666666666666667
