Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S4,EMATent,0.969338595867157,0.969338595867157,0.7644387483596802,1.0,0.2091984212398529,0.5,0.29080157876014706,0.0,0.0,0,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.7471837997436523,0.7471837997436523,0.8123607635498047,1.0,0.2758448600769043,0.5,0.2241551399230957,0.0,0.0,1,64,20,0.3125,44.0,0.6875,0.6875,2,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.8251182436943054,0.8251182436943054,0.7410760521888733,1.0,0.2524645268917084,0.5,0.2475354731082916,0.0,0.0,2,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.9633904099464417,0.9633904099464417,0.7641057968139648,1.0,0.21098287701606752,0.5,0.2890171229839325,0.0,0.0,3,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,
S4,EMATent,0.8773285746574402,0.8773285746574402,0.7305492758750916,1.0,0.23680142760276796,0.5,0.26319857239723204,0.0,0.0,4,11,0,0.0,11.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,
S4,DynaMixEMATent,,,,,,,,,,0,64,35,0.546875,29.0,0.453125,0.546875,2,0.26092833280563354,0.969338595867157,0.969338595867157,0.7084102630615234,0.43679590533332263,0.27240251590653036,0.29080157876014706,0.3840991572292334,62.03767013549805,0.19999999999999996,1.0,0.5544223189353943,0.2,0.0,1.0,5.0,0.078125,59.0,0.921875,0.921875,2.0,0.046875
S4,DynaMixEMATent,,,,,,,,,,1,64,20,0.3125,44.0,0.6875,0.6875,2,0.14594443142414093,0.710731029510498,0.710731029510498,0.5647866129875183,0.339649679674474,0.44713101147237655,0.2132193088531494,0.568304505313439,107.52445602416992,0.19999999999999996,1.0,0.5582258701324463,0.2,0.0,1.0,12.0,0.1875,52.0,0.8125,0.8125,2.0,0.1875
S4,DynaMixEMATent,,,,,,,,,,2,64,35,0.546875,29.0,0.453125,0.546875,2,0.030746111646294594,0.5281861424446106,0.5281861424446106,0.49744004011154175,0.2789717724847407,0.5625723847818761,0.15845584273338317,0.6685001374249251,141.328369140625,0.19999999999999996,1.0,0.6329013109207153,0.2,0.0,1.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,0.046875
S4,DynaMixEMATent,,,,,,,,,,3,64,10,0.15625,54.0,0.84375,0.84375,2,0.29429516196250916,0.9233231544494629,0.9233231544494629,0.6290280222892761,0.1510519752612237,0.5719510784039374,0.27699694633483884,0.7910769885472998,200.42105102539062,0.19999999999999996,1.0,0.4993818700313568,0.2,0.0,1.0,30.0,0.46875,34.0,0.53125,0.53125,2.0,0.34375
S4,DynaMixEMATent,,,,,,,,,,4,11,0,0.0,11.0,1.0,1.0,1,0.17251244187355042,0.9974135756492615,0.9974135756492615,0.8249011039733887,0.1343815979140839,0.5663943293911378,0.2992240726947784,0.8082388497121502,211.3926003575325,0.19999999999999996,1.0,0.5447431802749634,0.2,0.0,1.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.9090909090909091,2.0,0.5
