Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1
S12,0.5080645161290323,0.6737967914438503,0.0,0.33689839572192515,0.8064516129032258,0.8095238095238095,0.8032786885245902,0.8064012490241999,0.6733870967741935,0.7254237288135593,0.5970149253731343,0.6612193270933469,0.6653225806451613,0.7087719298245614,0.6066350710900474,0.6577035004573044,0.6169354838709677,0.6843853820598007,0.5128205128205128,0.5986029474401567
S13,0.7653429602888087,0.8266666666666667,0.6368715083798883,0.7317690875232774,0.5667870036101083,0.6774193548387096,0.34065934065934067,0.5090393477490252,0.51985559566787,0.6210826210826211,0.3448275862068966,0.48295510364475885,0.6534296028880866,0.7142857142857143,0.5596330275229358,0.6369593709043251,0.6173285198555957,0.6882352941176471,0.5046728971962616,0.5964540956569544
S14,0.6721311475409836,0.803921568627451,0.0,0.4019607843137255,0.6598360655737705,0.7446153846153846,0.49079754601226994,0.6177064653138272,0.5737704918032787,0.6867469879518072,0.3333333333333333,0.5100401606425703,0.639344262295082,0.7755102040816326,0.08333333333333333,0.429421768707483,0.6352459016393442,0.7746835443037975,0.043010752688172046,0.40884714849598475
S15,0.465625,0.38267148014440433,0.5289256198347108,0.45579854998955754,0.68125,0.7571428571428571,0.5363636363636364,0.6467532467532467,0.69375,0.7782805429864253,0.5050505050505051,0.6416655240184652,0.54375,0.6157894736842106,0.43846153846153846,0.5271255060728746,0.546875,0.6194225721784777,0.44015444015444016,0.5297885061664589
S16,0.45248868778280543,0.6134185303514377,0.06201550387596899,0.33771701711370333,0.6063348416289592,0.6813186813186813,0.48520710059171596,0.5832628909551987,0.6244343891402715,0.7313915857605178,0.37593984962406013,0.553665717692289,0.5565610859728507,0.6711409395973155,0.3194444444444444,0.49529269202087994,0.5565610859728507,0.6711409395973155,0.3194444444444444,0.49529269202087994
S17,0.6363636363636364,0.74,0.3953488372093023,0.5676744186046512,0.541958041958042,0.5919003115264797,0.47808764940239046,0.534993980464435,0.48951048951048953,0.5828571428571429,0.34234234234234234,0.46259974259974257,0.6223776223776224,0.7258883248730964,0.39325842696629215,0.5595733759196942,0.6328671328671329,0.7258485639686684,0.4444444444444444,0.5851465042065565
S18,0.7294117647058823,0.7294117647058823,0.7294117647058823,0.7294117647058823,0.5803921568627451,0.6192170818505338,0.5327510917030568,0.5759840867767954,0.5882352941176471,0.6464646464646465,0.5070422535211268,0.5767534499928866,0.6392156862745098,0.6827586206896552,0.5818181818181818,0.6322884012539185,0.6509803921568628,0.6855123674911661,0.6079295154185022,0.646720941454834
S19,0.6965174129353234,0.758893280632411,0.5906040268456376,0.6747486537390244,0.5771144278606966,0.6255506607929515,0.5142857142857142,0.5699181875393329,0.6218905472636815,0.680672268907563,0.5365853658536586,0.6086288173806108,0.5920398009950248,0.6821705426356589,0.4305555555555556,0.5563630490956073,0.5970149253731343,0.6666666666666666,0.49056603773584906,0.5786163522012578
S20,0.5053003533568905,0.6111111111111112,0.32038834951456313,0.4657497303128372,0.5759717314487632,0.6226415094339622,0.5161290322580645,0.5693852708460134,0.5300353356890459,0.6356164383561644,0.3383084577114428,0.4869624480338036,0.6148409893992933,0.7268170426065163,0.3473053892215569,0.5370612159140365,0.6042402826855123,0.7157360406091371,0.3488372093023256,0.5322866249557313
S21,0.6284722222222222,0.3668639053254438,0.7371007371007371,0.5519823212130904,0.6180555555555556,0.5634920634920635,0.6604938271604939,0.6119929453262787,0.5381944444444444,0.5581395348837209,0.5163636363636364,0.5372515856236786,0.6527777777777778,0.47368421052631576,0.7409326424870466,0.6073084265066812,0.6458333333333334,0.4574468085106383,0.7371134020618557,0.597280105286247
S22,0.396,0.0,0.5673352435530086,0.2836676217765043,0.632,0.6541353383458647,0.6068376068376068,0.6304864725917357,0.66,0.750733137829912,0.46540880503144655,0.6080709714306793,0.516,0.5724381625441696,0.4423963133640553,0.5074172379541124,0.528,0.5785714285714286,0.4636363636363636,0.5211038961038961
S23,0.551440329218107,0.660436137071651,0.3393939393939394,0.49991503823279526,0.654320987654321,0.7236842105263158,0.5384615384615384,0.6310728744939271,0.5679012345679012,0.6974063400576369,0.2446043165467626,0.47100532830219977,0.5267489711934157,0.6723646723646723,0.14814814814814814,0.41025641025641024,0.5102880658436214,0.6550724637681159,0.15602836879432624,0.40555041628122107
S24,0.5025380710659898,0.5050505050505051,0.5,0.5025252525252526,0.3756345177664975,0.42790697674418604,0.3128491620111732,0.3703780693776796,0.3604060913705584,0.47058823529411764,0.19230769230769232,0.33144796380090497,0.30456852791878175,0.44081632653061226,0.08053691275167785,0.2606766196411451,0.3248730964467005,0.46153846153846156,0.09523809523809523,0.2783882783882784
S25,0.49795918367346936,0.016,0.663013698630137,0.3395068493150685,0.5469387755102041,0.5934065934065934,0.48847926267281105,0.5409429280397022,0.5265306122448979,0.6258064516129033,0.35555555555555557,0.4906810035842294,0.5469387755102041,0.5316455696202531,0.5612648221343873,0.5464551958773203,0.5469387755102041,0.5110132158590308,0.5779467680608364,0.5444799919599337
S26,0.768976897689769,0.8195876288659794,0.6788990825688074,0.7492433557173934,0.6633663366336634,0.6982248520710059,0.6194029850746269,0.6588139185728163,0.6864686468646864,0.7382920110192838,0.6090534979423868,0.6736727544808353,0.5808580858085809,0.5134099616858238,0.6318840579710145,0.5726470098284191,0.5841584158415841,0.5434782608695652,0.6181818181818182,0.5808300395256917
S27,0.42679127725856697,0.576036866359447,0.11538461538461539,0.3457107408720312,0.6137071651090342,0.6395348837209303,0.5838926174496645,0.6117137505852974,0.6573208722741433,0.6875,0.6206896551724138,0.6540948275862069,0.4797507788161994,0.5474254742547425,0.3882783882783883,0.46785193126656544,0.4735202492211838,0.536986301369863,0.3898916967509025,0.4634389990603828
S28,0.36018957345971564,0.0,0.5296167247386759,0.26480836236933797,0.6161137440758294,0.6772908366533864,0.5263157894736842,0.6018033130635353,0.6303317535545023,0.7045454545454546,0.5063291139240507,0.6054372842347526,0.44075829383886256,0.5083333333333333,0.3516483516483517,0.4299908424908425,0.44075829383886256,0.34444444444444444,0.512396694214876,0.4284205693296602
