Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S3,EMATentProbe025,0.7094897031784058,0.7094897031784058,0.8993810415267944,1,0.2871530890464783,0.5,0.21284691095352173,0.25,0.0,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATentProbe025,0.7014256119728088,0.7014256119728088,0.9300504922866821,1,0.28957231640815734,0.5,0.21042768359184263,0.25,0.0,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATentProbe025,0.7345923781394958,0.7345923781394958,0.9085745215415955,1,0.27962228655815125,0.5,0.22037771344184875,0.25,0.0,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
S3,EMATentProbe050,0.5895048975944519,0.5895048975944519,0.9235424995422363,1,0.32314853072166444,0.5,0.17685146927833556,0.5,0.0,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATentProbe050,0.6856074929237366,0.6856074929237366,0.9112801551818848,1,0.29431775212287903,0.5,0.20568224787712097,0.5,0.0,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATentProbe050,0.6776493787765503,0.6776493787765503,0.9032269716262817,1,0.2967051863670349,0.5,0.2032948136329651,0.5,0.0,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATentProbe050,0.7619020938873291,0.7619020938873291,0.9121066331863403,1,0.2714293718338013,0.5,0.22857062816619872,0.5,0.0,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
S3,EMATentProbe050,0.7399000525474548,0.7399000525474548,0.9059593677520752,1,0.2780299842357635,0.5,0.22197001576423644,0.5,0.0,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATentProbe050,0.7359588146209717,0.7359588146209717,0.9324999451637268,1,0.2792123556137085,0.5,0.2207876443862915,0.5,0.0,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATentProbe050,0.7691231966018677,0.7691231966018677,0.9177530407905579,1,0.2692630410194397,0.5,0.2307369589805603,0.5,0.0,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
