Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio
S13,EMATent,0.002081298502162099,0.002081298502162099,0.9998531937599182,0,0.49937561044935136,0.5,0.0006243895506486296,0.0,0.0,1,64,64,1.0,1.0,1,,
S13,EMATent,0.11910606920719147,0.11910606920719147,0.983872652053833,0,0.4642681792378426,0.5,0.03573182076215744,0.0,0.0,2,64,64,1.0,1.0,1,,
S13,EMATent,0.9611620306968689,0.9611620306968689,0.9507484436035156,1,0.21165139079093934,0.5,0.28834860920906064,0.0,0.0,3,64,64,1.0,1.0,1,,
S13,EMATent,0.45530152320861816,0.45530152320861816,0.9888885021209717,1,0.3634095430374146,0.5,0.13659045696258545,0.0,0.0,4,64,64,1.0,1.0,1,,
S13,EMATent,0.25133016705513,0.25133016705513,0.9580128192901611,1,0.424600949883461,0.5,0.075399050116539,0.0,0.0,5,64,64,1.0,1.0,1,,
S13,EMATent,0.8403264880180359,0.8403264880180359,0.9340659379959106,1,0.24790205359458925,0.5,0.2520979464054108,0.0,0.0,6,64,8,0.125,0.875,2,56.0,0.875
S13,EMATent,0.05110212787985802,0.05110212787985802,0.9942448735237122,0,0.4846693616360426,0.5,0.015330638363957405,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S13,EMATent,0.5315762162208557,0.5315762162208557,0.9490448236465454,1,0.34052713513374333,0.5,0.1594728648662567,0.0,0.0,8,64,51,0.796875,0.796875,2,13.0,0.203125
S13,EMATent,0.0036107595078647137,0.0036107595078647137,0.9997283220291138,0,0.4989167721476406,0.5,0.0010832278523594141,0.0,0.0,9,28,28,1.0,1.0,1,,
S14,EMATent,0.01069956086575985,0.01069956086575985,0.9990707039833069,0,0.49679013174027203,0.5,0.0032098682597279547,0.0,0.0,0,64,64,1.0,1.0,1,,
S14,EMATent,0.3354990780353546,0.3354990780353546,0.938980221748352,1,0.3993502765893936,0.5,0.10064972341060638,0.0,0.0,1,64,64,1.0,1.0,1,,
S14,EMATent,0.7463347315788269,0.7463347315788269,0.8735023736953735,1,0.2760995805263519,0.5,0.22390041947364805,0.0,0.0,2,64,64,1.0,1.0,1,,
S14,EMATent,0.8321999907493591,0.8321999907493591,0.9290969371795654,1,0.25034000277519225,0.5,0.24965999722480772,0.0,0.0,3,64,44,0.6875,0.6875,2,20.0,0.3125
S14,EMATent,0.8889230489730835,0.8889230489730835,0.897499144077301,1,0.23332308530807497,0.5,0.26667691469192506,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S14,EMATent,0.7346043586730957,0.7346043586730957,0.8935190439224243,1,0.2796186923980713,0.5,0.2203813076019287,0.0,0.0,5,64,13,0.203125,0.796875,2,51.0,0.796875
S14,EMATent,0.02278853952884674,0.02278853952884674,0.9977778196334839,0,0.493163438141346,0.5,0.006836561858654022,0.0,0.0,6,64,64,1.0,1.0,1,,
S14,EMATent,0.2170998901128769,0.2170998901128769,0.996330738067627,1,0.4348700329661369,0.5,0.06512996703386306,0.0,0.0,7,64,64,1.0,1.0,1,,
S14,EMATent,0.6908029913902283,0.6908029913902283,0.9974011778831482,1,0.29275910258293153,0.5,0.20724089741706847,0.0,0.0,8,64,64,1.0,1.0,1,,
