Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1
S11,0.5633333333333334,0.5732899022801303,0.552901023890785,0.5630954630854577,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5966666666666667,0.6807387862796834,0.45248868778280543,0.5666137370312444,0.5966666666666667,0.56,0.6276923076923077,0.5938461538461539
S12,0.5282258064516129,0.4507042253521127,0.5865724381625441,0.5186383317573284,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5967741935483871,0.5833333333333334,0.609375,0.5963541666666667,0.5403225806451613,0.5169491525423728,0.5615384615384615,0.5392438070404172
S13,0.6534296028880866,0.7241379310344828,0.5339805825242718,0.6290592567793774,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.7509025270758123,0.8140161725067385,0.6229508196721312,0.7184834960894348,0.6895306859205776,0.75,0.5904761904761905,0.6702380952380953
S14,0.47950819672131145,0.3804878048780488,0.5512367491166078,0.4658622769973283,0.4918032786885246,0.5724137931034483,0.37373737373737376,0.473075583420411,0.4918032786885246,0.5724137931034483,0.37373737373737376,0.473075583420411,0.6926229508196722,0.7910863509749304,0.4186046511627907,0.6048455010688606,0.5491803278688525,0.6071428571428571,0.47115384615384615,0.5391483516483516
S15,0.540625,0.5663716814159292,0.5116279069767442,0.5389997941963367,0.596875,0.6217008797653959,0.568561872909699,0.5951313763375474,0.6,0.6235294117647059,0.5733333333333334,0.5984313725490196,0.546875,0.6233766233766234,0.43137254901960786,0.5273745861981156,0.628125,0.6489675516224189,0.6046511627906976,0.6268093572065583
S16,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6380090497737556,0.6610169491525424,0.6116504854368932,0.6363337172947178,0.5565610859728507,0.36363636363636365,0.6597222222222222,0.5116792929292929
S17,0.4755244755244755,0.0,0.6445497630331753,0.3222748815165877,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.6958041958041958,0.7289719626168224,0.6533864541832669,0.6911792084000447,0.4755244755244755,0.5535714285714286,0.3644067796610169,0.45898910411622273
S18,0.6196078431372549,0.4756756756756757,0.7015384615384616,0.5886070686070686,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.7490196078431373,0.7480314960629921,0.75,0.7490157480314961,0.5568627450980392,0.3687150837988827,0.6586102719033232,0.513662677851103
S19,0.6915422885572139,0.3404255319148936,0.7987012987012987,0.5695634153080962,0.48258706467661694,0.42857142857142855,0.5272727272727272,0.47792207792207786,0.48258706467661694,0.42857142857142855,0.5272727272727272,0.47792207792207786,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.6716417910447762,0.34,0.7814569536423841,0.5607284768211921
S20,0.4204946996466431,0.59,0.012048192771084338,0.3010240963855422,0.45936395759717313,0.4354243542435424,0.48135593220338985,0.45839014322346616,0.4628975265017668,0.43703703703703706,0.4864864864864865,0.46176176176176176,0.38515901060070673,0.37410071942446044,0.3958333333333333,0.3849670263788969,0.568904593639576,0.5307692307692308,0.6013071895424836,0.5660382101558572
S21,0.4618055555555556,0.630071599045346,0.012738853503184714,0.3214052262742654,0.5277777777777778,0.5,0.5526315789473685,0.5263157894736843,0.5277777777777778,0.5,0.5526315789473685,0.5263157894736843,0.53125,0.5686900958466453,0.4866920152091255,0.5276910555278854,0.3958333333333333,0.1553398058252427,0.5297297297297298,0.34253476777748626
S22,0.456,0.6263736263736264,0.0,0.3131868131868132,0.624,0.5727272727272728,0.6642857142857143,0.6185064935064934,0.624,0.5727272727272728,0.6642857142857143,0.6185064935064934,0.544,0.6274509803921569,0.41237113402061853,0.5199110572063876,0.516,0.5693950177935944,0.4474885844748858,0.5084418011342401
S23,0.2839506172839506,0.14705882352941177,0.3829787234042553,0.26501877346683356,0.7283950617283951,0.762589928057554,0.6826923076923077,0.7226411178749308,0.7283950617283951,0.762589928057554,0.6826923076923077,0.7226411178749308,0.7407407407407407,0.7920792079207921,0.6557377049180327,0.7239084564194125,0.48559670781893005,0.6031746031746031,0.26900584795321636,0.43609022556390975
S24,0.5736040609137056,0.5058823529411764,0.625,0.5654411764705882,0.5380710659898477,0.5560975609756098,0.5185185185185185,0.5373080397470642,0.5380710659898477,0.5560975609756098,0.5185185185185185,0.5373080397470642,0.5329949238578681,0.6260162601626016,0.3783783783783784,0.50219731927049,0.4467005076142132,0.4630541871921182,0.4293193717277487,0.44618677945993346
S25,0.44081632653061226,0.6118980169971672,0.0,0.3059490084985836,0.5959183673469388,0.5714285714285714,0.6177606177606177,0.5945945945945945,0.5959183673469388,0.5714285714285714,0.6177606177606177,0.5945945945945945,0.49795918367346936,0.6144200626959248,0.2807017543859649,0.4475609085409448,0.4448979591836735,0.6136363636363636,0.014492753623188406,0.314064558629776
S26,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.5874587458745875,0.6397694524495677,0.5173745173745173,0.5785719849120425,0.5874587458745875,0.6397694524495677,0.5173745173745173,0.5785719849120425,0.5907590759075908,0.675392670157068,0.44642857142857145,0.5609106207928197,0.6402640264026402,0.7494252873563219,0.36257309941520466,0.5559991933857633
S27,0.37694704049844235,0.5391705069124424,0.038461538461538464,0.2888160226869904,0.5700934579439252,0.5337837837837838,0.6011560693641619,0.5674699265739729,0.5700934579439252,0.5337837837837838,0.6011560693641619,0.5674699265739729,0.5482866043613707,0.5051194539249146,0.5845272206303725,0.5448233372776436,0.5015576323987538,0.5375722543352601,0.4594594594594595,0.4985158568973598
S28,0.3933649289099526,0.0,0.564625850340136,0.282312925170068,0.6824644549763034,0.7309236947791165,0.6127167630057804,0.6718202288924484,0.6872037914691943,0.736,0.6162790697674418,0.6761395348837209,0.7203791469194313,0.8013468013468014,0.528,0.6646734006734007,0.4312796208530806,0.1891891891891892,0.5620437956204379,0.37561649240481354
S29,0.4739583333333333,0.5702127659574469,0.3221476510067114,0.4461802084820791,0.484375,0.47619047619047616,0.49230769230769234,0.48424908424908425,0.484375,0.47619047619047616,0.49230769230769234,0.48424908424908425,0.4270833333333333,0.47115384615384615,0.375,0.4230769230769231,0.578125,0.39097744360902253,0.6772908366533864,0.5341341401312045
S30,0.4489795918367347,0.5827814569536424,0.1888412017167382,0.3858113293351903,0.5626822157434402,0.5738636363636364,0.5508982035928144,0.5623809199782254,0.5626822157434402,0.5738636363636364,0.5508982035928144,0.5623809199782254,0.60932944606414,0.665,0.5314685314685315,0.5982342657342657,0.6938775510204082,0.662379421221865,0.72,0.6911897106109325
Average,0.49607052702516335,0.46922679945847456,0.34543151174793846,0.4073291556032065,0.5659748415752576,0.5600662691318262,0.5635637568392863,0.5618150129855561,0.5663611614059056,0.5603249594355729,0.5639905903792278,0.5621577749074002,0.5653392622733676,0.6111212223707013,0.4802910389828086,0.5457061306767549,0.5304143505468584,0.5218888033651959,0.4718663803744174,0.49687759186980673
Std,0.09808359758471245,0.22371307465466225,0.2851808302946713,0.11231642126250793,0.09724691175732195,0.10146410673026707,0.10923771143517833,0.09664884943831223,0.09703613767002828,0.10148683154775573,0.10896387497411854,0.09642244718883054,0.11177191305360094,0.11000974822346495,0.15156769667819794,0.11228783977678876,0.09471948196761096,0.1383943451194195,0.19857175519484443,0.10633358490410803
