Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S11,DynaMixEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.03969290480017662,0.43194079399108887,0.43194079399108887,0.39224788546562195,0.5999179226617903,0.27049983914088305,0.12958223819732664,0.3107701278759133,47.639095306396484,0.19999999999999996,1.0,0.848143458366394,0.2,0.0,1.0,46.0,0.71875,3.0,0.046875,15.0,0.234375,0.71875,3.0,0.6666666666666667
S11,DynaMixEMATent,,,,,,,,,,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,0.04557962715625763,0.7787174582481384,0.7787174582481384,0.7331377863883972,0.3578611934321296,0.40852356909342885,0.23361523747444152,0.5330528333407527,97.47701263427734,0.19999999999999996,1.0,0.8720831871032715,0.2,0.0,1.0,2.0,0.03125,11.0,0.171875,51.0,0.796875,0.796875,3.0,0.3541666666666667
S11,DynaMixEMATent,,,,,,,,,,4,64,0,0.0,64,1.0,0,0.0,1.0,1,0.03805268555879593,0.8635921478271484,0.8635921478271484,0.8255394697189331,0.22465381143862342,0.5162685442132321,0.2590776443481445,0.6967916952094455,152.74691009521484,0.19999999999999996,1.0,0.7450864315032959,0.2,0.0,1.0,0.0,0.0,3.0,0.046875,61.0,0.953125,0.953125,2.0,0.6666666666666667
S11,DynaMixEMATent,,,,,,,,,,5,64,0,0.0,52,0.8125,12,0.1875,0.8125,2,0.06535191088914871,0.7840297222137451,0.7840297222137451,0.718677818775177,0.15668737946142175,0.6081037038744547,0.23520891666412352,0.7951239457735562,202.92481231689453,0.19999999999999996,1.0,0.6267774105072021,0.2,0.0,1.0,0.0,0.0,10.0,0.15625,54.0,0.84375,0.84375,2.0,0.4791666666666667
S11,DynaMixEMATent,,,,,,,,,,6,62,0,0.0,0,0.0,62,1.0,1.0,1,0.028471071273088455,0.5710003972053528,0.5710003972053528,0.5425293445587158,0.12875735323778684,0.6999425276006074,0.17130011916160584,0.8446272815829016,238.3268369436264,0.19999999999999996,1.0,0.45818451046943665,0.2,0.0,1.0,0.0,0.0,1.0,0.016129032258064516,61.0,0.9838709677419355,0.9838709677419355,2.0,0.6666666666666667
S13,EMATent,0.11999023705720901,0.11999023705720901,0.9754358530044556,0.0,0.4640029288828373,0.5,0.0359970711171627,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.0451284684240818,0.0451284684240818,0.9924033284187317,0.0,0.48646145947277547,0.5,0.01353854052722454,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.23266924917697906,0.23266924917697906,0.9746440649032593,1.0,0.4301992252469063,0.5,0.06980077475309372,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.9562434554100037,0.9562434554100037,0.8147724866867065,1.0,0.2131269633769989,0.5,0.28687303662300107,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,
S13,EMATent,0.4027569890022278,0.4027569890022278,0.9645830392837524,1.0,0.3791729032993317,0.5,0.12082709670066832,0.0,0.0,4,64,0,0.0,8,0.125,56,0.875,0.875,2,,,,,,,,,,,,,,,,,,,,,,,,
