Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S2,EmaTentCaseS20E50B30M065,0.3906837999820709,0.3906837999820709,0.9232329726219177,1,0.38279486000537877,0.5,0.11720513999462127,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2
S2,EmaTentCaseS20E50B30M070,0.10897458344697952,0.10897458344697952,0.9855583310127258,0,0.46730762496590617,0.5,0.032692375034093855,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2
S2,EmaTentCaseS20E50B30M070,0.28622400760650635,0.28622400760650635,0.9500406980514526,1,0.4141327977180481,0.5,0.0858672022819519,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S2,EmaTentCaseS20E50B30M070,0.29780107736587524,0.29780107736587524,0.9472895860671997,1,0.4106596767902374,0.5,0.08934032320976257,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1
S2,EmaTentCaseS20E50B30M070,0.3595176041126251,0.3595176041126251,0.9317078590393066,1,0.3921447187662125,0.5,0.10785528123378753,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2
S2,EmaTentCaseS10E50B40M070,0.10897458344697952,0.10897458344697952,0.9855583310127258,0,0.45641016662120826,0.5,0.04358983337879181,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2
S2,EmaTentCaseS10E50B40M070,0.27920860052108765,0.27920860052108765,0.9516819715499878,1,0.388316559791565,0.5,0.11168344020843507,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S2,EmaTentCaseS10E50B40M070,0.28077927231788635,0.28077927231788635,0.951316237449646,1,0.3876882910728455,0.5,0.11231170892715454,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1
S2,EmaTentCaseS10E50B40M070,0.33828386664390564,0.33828386664390564,0.9372454285621643,1,0.36468645334243777,0.5,0.13531354665756226,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2
S2,EmaTentCaseS10E50B40M075,0.10897458344697952,0.10897458344697952,0.9855583310127258,0,0.45641016662120826,0.5,0.04358983337879181,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2
S2,EmaTentCaseS10E50B40M075,0.2145393043756485,0.2145393043756485,0.9659029841423035,1,0.4141842782497406,0.5,0.08581572175025941,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S2,EmaTentCaseS10E50B40M075,0.21833838522434235,0.21833838522434235,0.9651126861572266,1,0.4126646459102631,0.5,0.08733535408973694,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1
S2,EmaTentCaseS10E50B40M075,0.2922181189060211,0.2922181189060211,0.9486228823661804,1,0.3831127524375916,0.5,0.11688724756240845,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2
