Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATentSafe_Acc,EMATentSafe_F1_0,EMATentSafe_F1_1,EMATentSafe_MacroF1,EmaTentGridS40E50B10M085_Acc,EmaTentGridS40E50B10M085_F1_0,EmaTentGridS40E50B10M085_F1_1,EmaTentGridS40E50B10M085_MacroF1,EmaTentGridS30E50B20M085_Acc,EmaTentGridS30E50B20M085_F1_0,EmaTentGridS30E50B20M085_F1_1,EmaTentGridS30E50B20M085_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EMATentAdaptive_Acc,EMATentAdaptive_F1_0,EMATentAdaptive_F1_1,EMATentAdaptive_MacroF1,EmaTentGridS20E50B30M090_Acc,EmaTentGridS20E50B30M090_F1_0,EmaTentGridS20E50B30M090_F1_1,EmaTentGridS20E50B30M090_MacroF1,EmaTentGridS20E50B30M095_Acc,EmaTentGridS20E50B30M095_F1_0,EmaTentGridS20E50B30M095_F1_1,EmaTentGridS20E50B30M095_MacroF1,EmaTentGridS10E50B40M085_Acc,EmaTentGridS10E50B40M085_F1_0,EmaTentGridS10E50B40M085_F1_1,EmaTentGridS10E50B40M085_MacroF1
S11,0.5633333333333334,0.5732899022801303,0.552901023890785,0.5630954630854577,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5966666666666667,0.6807387862796834,0.45248868778280543,0.5666137370312444,0.5766666666666667,0.5448028673835126,0.6043613707165109,0.5745821190500118,0.58,0.55,0.60625,0.578125,0.6,0.5683453237410072,0.6273291925465838,0.5978372581437955,0.5933333333333334,0.5642857142857143,0.61875,0.5915178571428572,0.5966666666666667,0.56,0.6276923076923077,0.5938461538461539,0.5966666666666667,0.56,0.6276923076923077,0.5938461538461539,0.5933333333333334,0.5481481481481482,0.6303030303030303,0.5892255892255892,0.5933333333333334,0.5514705882352942,0.6280487804878049,0.5897596843615496,0.6,0.5652173913043478,0.6296296296296297,0.5974235104669887
S12,0.5282258064516129,0.4507042253521127,0.5865724381625441,0.5186383317573284,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5967741935483871,0.5833333333333334,0.609375,0.5963541666666667,0.5201612903225806,0.47577092511013214,0.5576208178438662,0.5166958714769991,0.5161290322580645,0.47368421052631576,0.5522388059701493,0.5129615082482325,0.5362903225806451,0.4888888888888889,0.5756457564575646,0.5322673226732267,0.5604838709677419,0.5691699604743083,0.551440329218107,0.5603051448462077,0.5403225806451613,0.5169491525423728,0.5615384615384615,0.5392438070404172,0.5564516129032258,0.5045045045045045,0.5985401459854015,0.551522325244953,0.5766129032258065,0.5023696682464455,0.631578947368421,0.5669743078074332,0.6209677419354839,0.5252525252525253,0.6845637583892618,0.6049081418208935,0.5685483870967742,0.5244444444444445,0.6051660516605166,0.5648052480524806
S13,0.6534296028880866,0.7241379310344828,0.5339805825242718,0.6290592567793774,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.7509025270758123,0.8140161725067385,0.6229508196721312,0.7184834960894348,0.7003610108303249,0.7774798927613941,0.5414364640883977,0.6594581784248958,0.7256317689530686,0.7934782608695652,0.5913978494623656,0.6924380551659655,0.7256317689530686,0.7923497267759563,0.5957446808510638,0.69404720381351,0.6859205776173285,0.7463556851311953,0.5876777251184834,0.6670167051248393,0.6895306859205776,0.75,0.5904761904761905,0.6702380952380953,0.6931407942238267,0.7592067988668555,0.5771144278606966,0.6681606133637761,0.7184115523465704,0.7857142857142857,0.5894736842105263,0.687593984962406,0.7364620938628159,0.8032345013477089,0.6010928961748634,0.7021636987612861,0.6678700361010831,0.7309941520467836,0.5660377358490566,0.6485159439479201
S14,0.47950819672131145,0.3804878048780488,0.5512367491166078,0.4658622769973283,0.4918032786885246,0.5724137931034483,0.37373737373737376,0.473075583420411,0.4918032786885246,0.5724137931034483,0.37373737373737376,0.473075583420411,0.6926229508196722,0.7910863509749304,0.4186046511627907,0.6048455010688606,0.5532786885245902,0.5361702127659574,0.5691699604743083,0.5526700866201328,0.5614754098360656,0.5596707818930041,0.563265306122449,0.5614680440077265,0.5532786885245902,0.5758754863813229,0.5281385281385281,0.5520070072599255,0.5655737704918032,0.6293706293706294,0.4752475247524752,0.5523090770615523,0.5491803278688525,0.6071428571428571,0.47115384615384615,0.5391483516483516,0.5655737704918032,0.6159420289855072,0.5,0.5579710144927537,0.5573770491803278,0.6,0.5045871559633027,0.5522935779816514,0.5450819672131147,0.5779467680608364,0.5066666666666667,0.5423067173637516,0.5286885245901639,0.6075085324232082,0.41025641025641024,0.5088824713398092
S15,0.540625,0.5663716814159292,0.5116279069767442,0.5389997941963367,0.596875,0.6217008797653959,0.568561872909699,0.5951313763375474,0.6,0.6235294117647059,0.5733333333333334,0.5984313725490196,0.546875,0.6233766233766234,0.43137254901960786,0.5273745861981156,0.609375,0.558303886925795,0.6498599439775911,0.604081915451693,0.603125,0.5381818181818182,0.6520547945205479,0.5951183063511831,0.61875,0.5642857142857143,0.6611111111111111,0.6126984126984127,0.6375,0.6759776536312849,0.5886524822695035,0.6323150679503942,0.628125,0.6489675516224189,0.6046511627906976,0.6268093572065583,0.64375,0.6369426751592356,0.6503067484662577,0.6436247118127467,0.640625,0.6153846153846154,0.6627565982404692,0.6390706068125422,0.61875,0.5704225352112676,0.6573033707865169,0.6138629529988923,0.640625,0.670487106017192,0.6048109965635738,0.637649051290383
S16,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6380090497737556,0.6610169491525424,0.6116504854368932,0.6363337172947178,0.4479638009049774,0.27380952380952384,0.5547445255474452,0.41427702467848454,0.47058823529411764,0.3236994219653179,0.5650557620817844,0.4443775920235512,0.502262443438914,0.36046511627906974,0.5925925925925926,0.47652885443583115,0.5248868778280543,0.3137254901960784,0.6366782006920415,0.47520184544405997,0.5565610859728507,0.36363636363636365,0.6597222222222222,0.5116792929292929,0.5565610859728507,0.3950617283950617,0.65,0.5225308641975308,0.5429864253393665,0.40236686390532544,0.63003663003663,0.5162017469709778,0.5067873303167421,0.36257309941520466,0.5977859778597786,0.48017953863749163,0.5565610859728507,0.3466666666666667,0.6643835616438356,0.5055251141552511
S17,0.4755244755244755,0.0,0.6445497630331753,0.3222748815165877,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.6958041958041958,0.7289719626168224,0.6533864541832669,0.6911792084000447,0.3811188811188811,0.0,0.5518987341772152,0.2759493670886076,0.2902097902097902,0.2564102564102564,0.3210702341137124,0.2887402452619844,0.3356643356643357,0.3708609271523179,0.2962962962962963,0.3335786117243071,0.506993006993007,0.5865102639296188,0.38961038961038963,0.4880603267700042,0.4755244755244755,0.5535714285714286,0.3644067796610169,0.45898910411622273,0.36713286713286714,0.41423948220064727,0.311787072243346,0.3630132772219966,0.3041958041958042,0.2867383512544803,0.32081911262798635,0.3037787319412333,0.3776223776223776,0.043010752688172046,0.538860103626943,0.2909354281575575,0.3706293706293706,0.4267515923566879,0.3023255813953488,0.36453858687601837
S18,0.6196078431372549,0.4756756756756757,0.7015384615384616,0.5886070686070686,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.7490196078431373,0.7480314960629921,0.75,0.7490157480314961,0.592156862745098,0.4157303370786517,0.6867469879518072,0.5512386625152295,0.596078431372549,0.4245810055865922,0.6888217522658611,0.5567013789262266,0.5764705882352941,0.38636363636363635,0.6766467065868264,0.5315051714752314,0.5411764705882353,0.38095238095238093,0.6355140186915887,0.5082331998219849,0.5568627450980392,0.3687150837988827,0.6586102719033232,0.513662677851103,0.5686274509803921,0.367816091954023,0.6726190476190477,0.5202175697865353,0.5686274509803921,0.367816091954023,0.6726190476190477,0.5202175697865353,0.5725490196078431,0.3699421965317919,0.6765578635014837,0.5232500300166378,0.5372549019607843,0.3516483516483517,0.6402439024390244,0.495946127043688
S19,0.6915422885572139,0.3404255319148936,0.7987012987012987,0.5695634153080962,0.48258706467661694,0.42857142857142855,0.5272727272727272,0.47792207792207786,0.48258706467661694,0.42857142857142855,0.5272727272727272,0.47792207792207786,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.6766169154228856,0.3010752688172043,0.7896440129449838,0.545359640881094,0.681592039800995,0.30434782608695654,0.7935483870967742,0.5489481065918653,0.6766169154228856,0.3010752688172043,0.7896440129449838,0.545359640881094,0.6467661691542289,0.3106796116504854,0.7625418060200669,0.5366107088352762,0.6716417910447762,0.34,0.7814569536423841,0.5607284768211921,0.6915422885572139,0.3541666666666667,0.7973856209150327,0.5757761437908497,0.681592039800995,0.3191489361702128,0.7922077922077922,0.5556783641890025,0.681592039800995,0.3191489361702128,0.7922077922077922,0.5556783641890025,0.6616915422885572,0.3333333333333333,0.7733333333333333,0.5533333333333333
S20,0.4204946996466431,0.59,0.012048192771084338,0.3010240963855422,0.45936395759717313,0.4354243542435424,0.48135593220338985,0.45839014322346616,0.4628975265017668,0.43703703703703706,0.4864864864864865,0.46176176176176176,0.38515901060070673,0.37410071942446044,0.3958333333333333,0.3849670263788969,0.4452296819787986,0.46048109965635736,0.4290909090909091,0.44478600437363325,0.5441696113074205,0.5536332179930796,0.5342960288808665,0.543964623436973,0.5759717314487632,0.5555555555555556,0.5945945945945946,0.575075075075075,0.558303886925795,0.5283018867924528,0.584717607973422,0.5565097473829375,0.568904593639576,0.5307692307692308,0.6013071895424836,0.5660382101558572,0.558303886925795,0.5247148288973384,0.5874587458745875,0.556086787385963,0.5724381625441696,0.5254901960784314,0.6109324758842444,0.5682113359813379,0.519434628975265,0.4380165289256198,0.5802469135802469,0.5091317212529334,0.5724381625441696,0.5363984674329502,0.6032786885245902,0.5698385779787702
