Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
S22,0.456,0.6263736263736264,0.0,0.3131868131868132,0.664,0.6037735849056604,0.7083333333333334,0.6560534591194969,0.544,0.6274509803921569,0.41237113402061853,0.5199110572063876,0.572,0.5900383141762452,0.5523012552301255,0.5711697847031854,0.436,0.6028169014084507,0.027586206896551724,0.3152015541525012,0.432,0.601123595505618,0.013888888888888888,0.3075062421972534,0.616,0.5596330275229358,0.6595744680851063,0.609603747804021,0.616,0.5596330275229358,0.6595744680851063,0.609603747804021,0.472,0.5285714285714286,0.4,0.4642857142857143
S23,0.27983539094650206,0.13793103448275862,0.38162544169611307,0.25977823808943584,0.7242798353909465,0.7615658362989324,0.6731707317073171,0.7173682840031248,0.7530864197530864,0.8026315789473685,0.6703296703296703,0.7364806246385194,0.4732510288065844,0.5789473684210527,0.2967032967032967,0.4378253325621747,0.25102880658436216,0.2890625,0.20869565217391303,0.24887907608695653,0.25102880658436216,0.28346456692913385,0.21551724137931033,0.2494909041542221,0.7448559670781894,0.7785714285714286,0.6990291262135923,0.7388002773925104,0.7448559670781894,0.7785714285714286,0.6990291262135923,0.7388002773925104,0.6790123456790124,0.7272727272727273,0.61,0.6686363636363637
S24,0.5786802030456852,0.49696969696969695,0.6375545851528385,0.5672621410612677,0.5482233502538071,0.5700483091787439,0.5240641711229946,0.5470562401508693,0.5380710659898477,0.631578947368421,0.38095238095238093,0.506265664160401,0.47715736040609136,0.5164319248826291,0.430939226519337,0.4736855757009831,0.5786802030456852,0.336,0.6914498141263941,0.5137249070631971,0.6040609137055838,0.4,0.7045454545454546,0.5522727272727272,0.5482233502538071,0.586046511627907,0.5027932960893855,0.5444199038586462,0.5482233502538071,0.586046511627907,0.5027932960893855,0.5444199038586462,0.49238578680203043,0.5495495495495496,0.4186046511627907,0.48407710035617013
S25,0.44081632653061226,0.6118980169971672,0.0,0.3059490084985836,0.563265306122449,0.5327510917030568,0.5900383141762452,0.561394702939651,0.4897959183673469,0.6105919003115264,0.2603550295857988,0.4354734649486626,0.4326530612244898,0.5994236311239193,0.027972027972027972,0.31369782954797365,0.44081632653061226,0.6118980169971672,0.0,0.3059490084985836,0.44081632653061226,0.6118980169971672,0.0,0.3059490084985836,0.5714285714285714,0.5333333333333333,0.6037735849056604,0.5685534591194968,0.5714285714285714,0.5333333333333333,0.6037735849056604,0.5685534591194968,0.5755102040816327,0.543859649122807,0.6030534351145038,0.5734565421186555
S26,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.5808580858085809,0.6361031518624641,0.5058365758754864,0.5709698638689753,0.5907590759075908,0.675392670157068,0.44642857142857145,0.5609106207928197,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.5973597359735974,0.6473988439306358,0.5307692307692308,0.5890840373499333,0.5973597359735974,0.6473988439306358,0.5307692307692308,0.5890840373499333,0.6435643564356436,0.7142857142857143,0.5263157894736842,0.6203007518796992
S27,0.37694704049844235,0.5391705069124424,0.038461538461538464,0.2888160226869904,0.5950155763239875,0.5637583892617449,0.622093023255814,0.5929257062587794,0.5607476635514018,0.5052631578947369,0.6050420168067226,0.5551525873507297,0.43302180685358255,0.5210526315789473,0.3053435114503817,0.4131980715146645,0.38317757009345793,0.5330188679245284,0.09174311926605505,0.3123809935952917,0.38006230529595014,0.5295508274231678,0.091324200913242,0.3104375141682049,0.5825545171339563,0.5592105263157895,0.6035502958579881,0.5813804110868888,0.5794392523364486,0.5544554455445545,0.6017699115044248,0.5781126785244897,0.5077881619937694,0.3875968992248062,0.5885416666666666,0.4880692829457364
S28,0.3933649289099526,0.0,0.564625850340136,0.282312925170068,0.6966824644549763,0.7419354838709677,0.632183908045977,0.6870596959584724,0.7156398104265402,0.7986577181208053,0.5161290322580645,0.657393375189435,0.4028436018957346,0.16,0.5367647058823529,0.3483823529411765,0.3933649289099526,0.0,0.564625850340136,0.282312925170068,0.3933649289099526,0.0,0.564625850340136,0.282312925170068,0.6919431279620853,0.7368421052631579,0.6285714285714286,0.6827067669172933,0.6919431279620853,0.7368421052631579,0.6285714285714286,0.6827067669172933,0.6350710900473934,0.6831275720164609,0.5698324022346368,0.6264799871255489
S29,0.4739583333333333,0.5665236051502146,0.33112582781456956,0.4488247164823921,0.4947916666666667,0.48128342245989303,0.5076142131979695,0.49444881782893124,0.4322916666666667,0.47342995169082125,0.384180790960452,0.4288053713256366,0.5885416666666666,0.3875968992248062,0.6901960784313725,0.5388964888280894,0.4583333333333333,0.48,0.43478260869565216,0.45739130434782604,0.4583333333333333,0.48,0.43478260869565216,0.45739130434782604,0.4791666666666667,0.494949494949495,0.46236559139784944,0.4786575431736722,0.4791666666666667,0.494949494949495,0.46236559139784944,0.4786575431736722,0.546875,0.48520710059171596,0.5953488372093023,0.5402779689005092
S30,0.44314868804664725,0.5820568927789934,0.16593886462882096,0.3739978787039072,0.5539358600583091,0.5565217391304348,0.5513196480938416,0.5539206936121381,0.60932944606414,0.665,0.5314685314685315,0.5982342657342657,0.673469387755102,0.6853932584269663,0.6606060606060606,0.6729996595165135,0.6501457725947521,0.6629213483146067,0.6363636363636364,0.6496424923391215,0.6297376093294461,0.650137741046832,0.6068111455108359,0.628474443278834,0.5685131195335277,0.5771428571428572,0.5595238095238095,0.5683333333333334,0.5685131195335277,0.5771428571428572,0.5595238095238095,0.5683333333333334,0.6822157434402333,0.6666666666666666,0.6963788300835655,0.6815227483751161
Average,0.49587014603121765,0.46862478766805793,0.3450774926000475,0.40685114013405266,0.5672513942729908,0.5567370314495232,0.5680152843612181,0.5623761579053707,0.5663364498590558,0.611783881626191,0.48098169994410256,0.5463827907851468,0.5250392952906533,0.5099827716799029,0.4376468132403,0.47381479246010133,0.5047429879013979,0.4721902185698695,0.3871083108735193,0.4296492647216944,0.502799499871992,0.4719335117093987,0.3820358097454314,0.4269846607274151,0.5588653704360426,0.5549163368563974,0.5532706406000333,0.5540934887282153,0.5589922778529516,0.5549823739630889,0.5534057732510891,0.5541940736070889,0.5420807451520385,0.5543343782202498,0.5036608903666822,0.5289976342934659
