Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,29,0.453125,35.0,0.546875,0.546875,2,,0.0880584,,,,,,
S3,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,0.083074896,,,,,,
S3,DUA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,0.07839040223999999,,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,57.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,27,0.421875,37.0,0.578125,0.578125,2,,,64.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,29,0.453125,35.0,0.546875,0.546875,2,,,64.0,,,,,
S3,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,64.0,,,,,
S3,RoTTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,64.0,,,,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,64.0,1.0,0.6035646200180054,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,27,0.421875,37.0,0.578125,0.578125,2,,,,64.0,1.0,0.5826077461242676,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,29,0.453125,35.0,0.546875,0.546875,2,,,,64.0,1.0,0.6329529285430908,,
S3,NOTE,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,64.0,1.0,0.5709632039070129,,
S3,NOTE,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,64.0,0.0,,,
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,,,,0.289701372385025,4.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,27,0.421875,37.0,0.578125,0.578125,2,,,,,,,0.04513220116496086,58.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,29,0.453125,35.0,0.546875,0.546875,2,,,,,,,0.19531592726707458,26.0
S3,DELTA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,,,,0.15708835422992706,43.0
S3,DELTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,0.10932572185993195,1.0
S4,DynaMixEMATent,64,0.018341384828090668,0.03523100167512894,0.03523100167512894,0.01688961870968342,0.9721539978111163,0.017276701686344948,0.010569300502538681,0.01746125493692474,2.254784107208252,0.19999999999999996,0.0,0.004119925666600466,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,0,0,0.0,64.0,1.0,1.0,1,0.5,,,,,,,
S4,DynaMixEMATent,64,0.0035224598832428455,0.015313313342630863,0.015313313342630863,0.011790853925049305,0.9705651615970268,0.02484084440018395,0.004593994002789259,0.024955489770526418,3.234836161136627,0.19999999999999996,0.0,0.009830196388065815,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,1,31,0.484375,33.0,0.515625,0.515625,2,0.015625,,,,,,,
S4,DynaMixEMATent,64,0.00393367325887084,0.018791714683175087,0.018791714683175087,0.01485804095864296,0.9604806141908241,0.03388187140422335,0.005637514404952526,0.03407396386635375,4.437505900859833,0.19999999999999996,0.0,0.03764381259679794,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,2,23,0.359375,41.0,0.640625,0.640625,2,0.140625,,,,,,,
S4,DynaMixEMATent,64,0.006735548842698336,0.02103114314377308,0.02103114314377308,0.014295593835413456,0.9497913810589613,0.04389927599790678,0.006309342943131923,0.044178010214897756,5.78349906206131,0.19999999999999996,0.0,0.018916800618171692,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,3,38,0.59375,26.0,0.40625,0.59375,2,0.09375,,,,,,,
S4,DynaMixEMATent,11,0.0004359091690275818,0.004093579947948456,0.004093579947948456,0.0036576709244400263,0.9543123911168502,0.044459534898765356,0.0012280739843845367,0.044514201631724926,5.828528441488743,0.19999999999999996,0.0,0.007970942184329033,0.2,0.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,4,0,0.0,11.0,1.0,1.0,1,0.5,,,,,,,
