Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S11,DynaMixEMATent,,,,,,,,,,5,64,12,0.1875,0.8125,2,52.0,0.8125,0.14465409517288208,0.37867096066474915,0.37867096066474915,0.23401688039302826,0.7139556546842029,0.1724430571163724,0.11360128819942474,0.19454344283294622,27.692289353348315,0.19999999999999996,1.0,0.33964425325393677,0.2,0.0,1.0,43.0,0.671875,21.0,0.328125,0.671875,2.0,0.3125,,,,,,,
S11,DynaMixEMATent,,,,,,,,,,6,64,64,1.0,1.0,1,,,0.005001734010875225,0.018792342394590378,0.018792342394590378,0.013790609315037727,0.7934253373039348,0.20093695997768798,0.0056377027183771135,0.20207620555104244,28.8949992666021,0.19999999999999996,0.0,0.05992909148335457,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
S11,DynaMixEMATent,,,,,,,,,,7,64,64,1.0,1.0,1,,,0.0023237180430442095,0.009938044473528862,0.009938044473528862,0.007614326197654009,0.7916015789572228,0.20541700770071844,0.0029814133420586583,0.20603127208419159,29.531034112907946,0.19999999999999996,0.0,0.027226872742176056,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
S11,DynaMixEMATent,,,,,,,,,,8,64,64,1.0,1.0,1,,,0.07110925763845444,0.2007313370704651,0.2007313370704651,0.12962207198143005,0.6749034003444474,0.26487719853441305,0.06021940112113952,0.28185003909466344,42.37783968541771,0.19999999999999996,1.0,0.26130855083465576,0.2,0.0,1.0,44.0,0.6875,20.0,0.3125,0.6875,2.0,0.0,,,,,,,
S11,DynaMixEMATent,,,,,,,,,,9,29,29,1.0,1.0,1,,,0.07378629595041275,0.25670695304870605,0.25670695304870605,0.1829206645488739,0.6253922786313794,0.2975956354540088,0.07701208591461181,0.32242636215762777,49.82234132383019,0.19999999999999996,1.0,0.30228152871131897,0.2,0.0,1.0,25.0,0.8620689655172413,4.0,0.13793103448275862,0.8620689655172413,2.0,0.0,,,,,,,
S11,TEMA,,,,,,,,,,0,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,1,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,2,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,3,64,44,0.6875,0.6875,2,20.0,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,4,64,0,0.0,1.0,1,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,5,64,12,0.1875,0.8125,2,52.0,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,6,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,7,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,8,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,TEMA,,,,,,,,,,9,29,29,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S11,DUA,,,,,,,,,,0,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
S11,DUA,,,,,,,,,,1,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
S11,DUA,,,,,,,,,,2,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
S11,DUA,,,,,,,,,,3,64,44,0.6875,0.6875,2,20.0,0.3125,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
S11,DUA,,,,,,,,,,4,64,0,0.0,1.0,1,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.07839040223999999,,,,,,
S11,DUA,,,,,,,,,,5,64,12,0.1875,0.8125,2,52.0,0.8125,,,,,,,,,,,,,,,,,,,,,,,0.07398697810559998,,,,,,
S11,DUA,,,,,,,,,,6,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.06984775941926398,,,,,,
S11,DUA,,,,,,,,,,7,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.06595689385410813,,,,,,
S11,DUA,,,,,,,,,,8,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.06229948022286164,,,,,,
S11,DUA,,,,,,,,,,9,29,29,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.05886151140948994,,,,,,
S11,RoTTA,,,,,,,,,,0,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,
S11,RoTTA,,,,,,,,,,1,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,
S11,RoTTA,,,,,,,,,,2,64,64,1.0,1.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,
