Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S13,EMATent,0.9623875617980957,0.9623875617980957,0.9780380725860596,1,0.2112837314605713,0.5,0.2887162685394287,0.0,0.0,7,64,45,0.703125,19.0,0.296875,0.703125,2
S13,EMATent,0.8512851595878601,0.8512851595878601,0.9849777221679688,1,0.24461445212364197,0.5,0.25538554787635803,0.0,0.0,8,64,51,0.796875,13.0,0.203125,0.796875,2
S13,EMATent,0.963437020778656,0.963437020778656,0.9929019808769226,1,0.2109688937664032,0.5,0.2890311062335968,0.0,0.0,9,28,24,0.8571428571428571,4.0,0.14285714285714285,0.8571428571428571,2
S14,EMATent,0.47061672806739807,0.47061672806739807,0.9611499309539795,1,0.3588149815797806,0.5,0.1411850184202194,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2
S14,EMATent,0.8084922432899475,0.8084922432899475,0.977855920791626,1,0.25745232701301574,0.5,0.24254767298698424,0.0,0.0,1,64,56,0.875,8.0,0.125,0.875,2
S14,EMATent,0.7803794741630554,0.7803794741630554,0.9359453320503235,1,0.2658861577510834,0.5,0.23411384224891663,0.0,0.0,2,64,49,0.765625,15.0,0.234375,0.765625,2
S14,EMATent,0.9384769797325134,0.9384769797325134,0.920143187046051,1,0.21845690608024598,0.5,0.281543093919754,0.0,0.0,3,64,45,0.703125,19.0,0.296875,0.703125,2
S14,EMATent,0.6958885788917542,0.6958885788917542,0.9434155225753784,1,0.29123342633247373,0.5,0.20876657366752624,0.0,0.0,4,64,48,0.75,16.0,0.25,0.75,2
S14,EMATent,0.7350320219993591,0.7350320219993591,0.9525436758995056,1,0.27949039340019227,0.5,0.22050960659980773,0.0,0.0,5,64,47,0.734375,17.0,0.265625,0.734375,2
S14,EMATent,0.7871336340904236,0.7871336340904236,0.941361665725708,1,0.26385990977287294,0.5,0.23614009022712706,0.0,0.0,6,64,44,0.6875,20.0,0.3125,0.6875,2
S14,EMATent,0.6993616223335266,0.6993616223335266,0.9589627981185913,1,0.290191513299942,0.5,0.20980848670005797,0.0,0.0,7,64,49,0.765625,15.0,0.234375,0.765625,2
S14,EMATent,0.9164277911186218,0.9164277911186218,0.9630599617958069,1,0.22507166266441347,0.5,0.2749283373355865,0.0,0.0,8,64,55,0.859375,9.0,0.140625,0.859375,2
S14,EMATent,0.6406260132789612,0.6406260132789612,0.9575842618942261,1,0.30781219601631166,0.5,0.19218780398368834,0.0,0.0,9,27,23,0.8518518518518519,4.0,0.14814814814814814,0.8518518518518519,2
S15,EMATent,0.819923996925354,0.819923996925354,0.8835093975067139,1,0.2540228009223938,0.5,0.24597719907760618,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S15,EMATent,0.7991302609443665,0.7991302609443665,0.9370502233505249,1,0.2602609217166901,0.5,0.23973907828330993,0.0,0.0,1,64,53,0.828125,11.0,0.171875,0.828125,2
