Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S13,MIDynamicEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.003628504229709506,0.030780071392655373,0.027151567861437798,0.9945882061318988,0.004323242599188343,0.0010885512689128517,0.004327953798787809,2.220721408724785,0.0007257008459419011,0.0,0.02660481445491314,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S13,MIDynamicEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.034362390637397766,0.08426772803068161,0.049905337393283844,0.9811844002564879,0.008506882552292785,0.010308717191219329,0.008595491038528635,4.419914409518242,0.006872478127479552,0.0,0.0652071014046669,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S13,MIDynamicEMATent,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.6002416014671326,0.9156975150108337,0.31545591354370117,0.7541212017048127,0.06580631785504752,0.18007248044013976,0.0802587012695617,42.835376903414726,0.12004832029342649,1.0,0.3594871163368225,0.05,1.0,1.0,27.0,0.421875,26.0,0.40625,11.0,0.171875,0.421875,3.0,0.3541666666666667
S13,MIDynamicEMATent,,,,,,,,,,4,64,0,0.0,8,0.125,56,0.875,0.875,2,0.24335512518882751,0.4698944091796875,0.2265392690896988,0.8270492757602846,0.09994418668306716,0.07300653755664825,0.10781541697137342,58.41010491549969,0.04867102503776549,1.0,0.2553998529911041,0.05,1.0,1.0,0.0,0.0,56.0,0.875,8.0,0.125,0.875,2.0,0.5416666666666667
S13,MIDynamicEMATent,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.2326926589012146,0.6688118577003479,0.4361191987991333,0.8061117781344874,0.12408042419514824,0.06980779767036438,0.13339224289818052,73.30243508517742,0.04653853178024291,1.0,0.5089185833930969,0.05,1.0,1.0,0.0,0.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,0.6666666666666667
S13,MIDynamicEMATent,,,,,,,,,,6,61,0,0.0,61,1.0,0,0.0,1.0,1,0.08997843414545059,0.4840669631958008,0.3940885365009308,0.8342238954021287,0.13878257435423613,0.026993530243635176,0.1426327354112933,78.79111956804991,0.017995686829090113,1.0,0.4501515328884125,0.05,1.0,1.0,0.0,0.0,4.0,0.06557377049180328,57.0,0.9344262295081968,0.9344262295081968,2.0,0.6666666666666667
S14,EMATent,0.03347034379839897,0.03347034379839897,0.9946631193161011,0.0,0.48995889686048033,0.5,0.010041103139519692,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S14,EMATent,0.9197412133216858,0.9197412133216858,0.7422871589660645,1.0,0.22407763600349428,0.5,0.2759223639965057,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S14,EMATent,0.9949799180030823,0.9949799180030823,0.559194803237915,1.0,0.20150602459907532,0.5,0.29849397540092465,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S14,EMATent,0.9719070196151733,0.9719070196151733,0.6168927550315857,1.0,0.20842789411544801,0.5,0.291572105884552,0.0,0.0,3,64,44,0.6875,20,0.3125,0,0.0,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,
