target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,best_ema_mean_effective_batch_weight,0.04238006435516846,0.8240324924048019,0.13192436040044492,0.4871037987394363
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Norm_gain_vs_source,0.258181307348433,0.16835304299763426,0.12791991101223582,0.5005335152286148
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Tent_gain_vs_source,0.25882411056695215,0.1672584595711002,0.12791991101223582,0.5005335152286148
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_raw_gate,0.038794557226758106,0.8387176574734931,0.11457174638487205,0.5466011942416222
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_effective_batch_weight,0.03879455722675812,0.8387176574734931,0.11457174638487205,0.5466011942416222
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,max_majority_ratio,0.03281222089024803,0.8633357741133406,0.10540804786991131,0.5793327266198601
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,single_class_batches,-0.03846086785250312,0.8400871326529071,0.05828756378342109,0.7596436971235082
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,-0.13368128623125708,0.48127024541811203,-0.07831794463859398,0.6808008571694867
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_confidence,0.014704525249039986,0.9385267060086333,-0.08520578420467186,0.654386663517159
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Source_MacroF1,-0.161330775396877,0.3943822539114632,-0.11368186874304784,0.5497413608930094
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_abs_batch_label1_change,-0.1312985921833983,0.4891902301182529,-0.11546162402669634,0.5434694510154611
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,batch_label1_drift,-0.11963612569167109,0.5288918916019292,-0.14395372210559748,0.44789455794331534
EmaTentCaseS00E50B50M070_gain_vs_source,OFTTA_gain_vs_source,0.9140193887396881,1.7361024226459373e-12,0.9310344827586206,8.815126124687504e-14
EmaTentCaseS00E50B50M070_gain_vs_source,Norm_gain_vs_source,0.9053899550587011,6.272100789982888e-12,0.9203559510567296,6.186441760336261e-13
EmaTentCaseS00E50B50M070_gain_vs_source,Tent_gain_vs_source,0.9054068362178007,6.257119801353198e-12,0.9203559510567296,6.186441760336261e-13
EmaTentCaseS00E50B50M070_gain_vs_source,num_batches,0.12588206524201473,0.5074383407818176,0.0964478492029215,0.6121517234414228
EmaTentCaseS00E50B50M070_gain_vs_source,num_windows,0.1889194465097033,0.31739434262111405,0.06941817820239014,0.7154823339834449
EmaTentCaseS00E50B50M070_gain_vs_source,full_single_class_batches,0.05758321624127892,0.7624649817908548,0.04631674366450493,0.8079760137236562
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_confidence,0.021212151785361254,0.9114108055038518,0.020689655172413793,0.9135847422192583
EmaTentCaseS00E50B50M070_gain_vs_source,std_majority_ratio,-0.024607072970383996,0.8973015981041664,-0.014460511679644046,0.9395449585639919
EmaTentCaseS00E50B50M070_gain_vs_source,batch_label1_drift,-0.033888123672494073,0.8588983412640302,-0.032039159170333904,0.8665267011603023
EmaTentCaseS00E50B50M070_gain_vs_source,single_class_batches,-0.08045284102623584,0.6725722862309221,-0.050515888612298276,0.7909330490306088
EmaTentCaseS00E50B50M070_gain_vs_source,max_majority_ratio,-0.15162278810052268,0.4238125659090248,-0.09844275836308898,0.6047778219582072
EmaTentCaseS00E50B50M070_gain_vs_source,mean_majority_ratio,-0.20371373418089805,0.2802547677630801,-0.117476916957891,0.5364084091642578
EmaTentCaseS00E50B50M070_gain_vs_source,best_ema_mean_raw_gate,-0.13097818283833423,0.4902602946830369,-0.1350389321468298,0.4767871808898193
EmaTentCaseS00E50B50M070_gain_vs_source,best_ema_mean_effective_batch_weight,-0.13097818283833423,0.4902602946830369,-0.1350389321468298,0.4767871808898193
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_raw_gate,-0.1200078142626455,0.5276031227356053,-0.1568409343715239,0.4078453205840991
EmaTentCaseS00E50B50M070_gain_vs_source,default_ema_mean_effective_batch_weight,-0.12000781426264559,0.5276031227356053,-0.1568409343715239,0.4078453205840991
EmaTentCaseS00E50B50M070_gain_vs_source,mean_abs_batch_label1_change,-0.23557900612791507,0.21012568650766872,-0.16796440489432704,0.37496347837785676
EmaTentCaseS00E50B50M070_gain_vs_source,Source_MacroF1,-0.7322248880053321,4.239403770645018e-06,-0.7601779755283649,1.0959075266352433e-06
