Task,Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,BestMethod,BestBaseline,BestBaseline_MacroF1,EMATent_gain_vs_source,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_source,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Norm_gain_vs_source,Norm_gain_vs_best_baseline,Tent_gain_vs_source,Tent_gain_vs_best_baseline,OFTTA_gain_vs_source,OFTTA_gain_vs_best_baseline,DefaultEMA_beats_all_baselines,BestEMA_beats_all_baselines,DefaultEMA_beats_source,BestEMA_beats_source,num_windows,num_batches,mean_majority_ratio,max_majority_ratio,std_majority_ratio,single_class_batches,full_single_class_batches,first_batch_majority_ratio,last_batch_majority_ratio,first_batch_label1_ratio,last_batch_label1_ratio,batch_label1_drift,mean_abs_batch_label1_change,default_ema_mean_raw_gate,default_ema_min_raw_gate,default_ema_mean_effective_batch_weight,default_ema_mean_effective_source_weight,default_ema_mean_confidence,default_ema_updated_rate,best_ema_mean_raw_gate,best_ema_min_raw_gate,best_ema_mean_effective_batch_weight,best_ema_mean_effective_source_weight,best_ema_mean_confidence,best_ema_updated_rate
arousal,S11,0.5633333333333334,0.5732899022801303,0.552901023890785,0.5630954630854577,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5533333333333333,0.564935064935065,0.541095890410959,0.553015477673012,0.5966666666666667,0.6807387862796834,0.4524886877828054,0.5666137370312444,0.5966666666666667,0.56,0.6276923076923077,0.5938461538461539,0.6,0.6026490066225165,0.5973154362416108,0.5999822214320636,EmaTentCaseS00E50B50M070,OFTTA,0.5666137370312444,0.030750690760696253,0.02723241681490951,0.03688675834660593,0.03336848440081919,-0.010079985412445702,-0.013598259358232445,-0.010079985412445702,-0.013598259358232445,0.003518273945786743,0.0,1,1,1,1,300,5,0.5889204545454545,0.734375,0.09088955756055653,0,0,0.734375,0.5227272727272727,0.265625,0.5227272727272727,0.2571022727272727,0.12677556818181818,0.7525412261486053,0.4199686348438263,0.22576236784458162,0.27423763215541835,0.8159895539283752,1.0,0.7360575139522553,0.4196833372116089,0.36802875697612764,0.13197124302387234,0.8222638607025147,1.0
arousal,S12,0.5282258064516129,0.4507042253521127,0.5865724381625441,0.5186383317573284,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5685483870967742,0.5523012552301255,0.5836575875486382,0.5679794213893818,0.5967741935483871,0.5833333333333334,0.609375,0.5963541666666667,0.5403225806451613,0.5169491525423728,0.5615384615384615,0.5392438070404172,0.592741935483871,0.5877551020408164,0.5976095617529881,0.5926823318969022,OFTTA,OFTTA,0.5963541666666667,0.02060547528308876,-0.05711035962624955,0.0740440001395738,-0.003671834769764515,0.049341089632053414,-0.028374745277284896,0.049341089632053414,-0.028374745277284896,0.07771583490933831,0.0,0,0,1,1,248,4,0.6060267857142857,0.71875,0.0802097482537096,0,0,0.515625,0.6428571428571429,0.515625,0.6428571428571429,0.1272321428571429,0.21949404761904764,0.8224878758192062,0.4137070178985595,0.24674636274576184,0.2532536372542381,0.786737471818924,1.0,0.8489055931568146,0.5089048147201538,0.4244527965784073,0.0755472034215927,0.7786660492420197,1.0
arousal,S13,0.6534296028880866,0.7241379310344828,0.5339805825242718,0.6290592567793774,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.740072202166065,0.7583892617449665,0.71875,0.7385696308724832,0.7509025270758123,0.8140161725067385,0.6229508196721312,0.7184834960894348,0.6895306859205776,0.75,0.5904761904761905,0.6702380952380953,0.6967509025270758,0.7439024390243902,0.6283185840707964,0.6861105115475934,Norm,Norm,0.7385696308724832,0.04117883845871795,-0.06833153563438787,0.05705125476821604,-0.05245911932488978,0.10951037409310582,0.0,0.10951037409310582,0.0,0.0894242393100575,-0.020086134783048326,0,0,1,1,277,5,0.7625,1.0,0.15032516838507115,1,0,0.65625,1.0,0.65625,0.0,0.65625,0.3125,0.894591999053955,0.7330156564712524,0.26837759971618647,0.23162240028381342,0.7166432857513427,1.0,0.8960475444793701,0.7505777478218079,0.44802377223968504,0.05197622776031489,0.7189098477363587,1.0
arousal,S14,0.4795081967213114,0.3804878048780488,0.5512367491166078,0.4658622769973283,0.4918032786885246,0.5724137931034483,0.3737373737373737,0.473075583420411,0.4918032786885246,0.5724137931034483,0.3737373737373737,0.473075583420411,0.6926229508196722,0.7910863509749304,0.4186046511627907,0.6048455010688606,0.5491803278688525,0.6071428571428571,0.4711538461538461,0.5391483516483516,0.6024590163934426,0.692063492063492,0.4393063583815029,0.5656849252224975,OFTTA,OFTTA,0.6048455010688606,0.07328607465102333,-0.06569714942050897,0.09982264822516917,-0.03916057584636312,0.00721330642308271,-0.13176991764844959,0.00721330642308271,-0.13176991764844959,0.1389832240715323,0.0,0,0,1,1,244,4,0.7184495192307692,0.96875,0.1869992523656413,0,0,0.5625,0.8269230769230769,0.5625,0.173076923076923,0.389423076923077,0.4318910256410257,0.856821283698082,0.5903872847557068,0.25704638510942457,0.24295361489057538,0.790167510509491,1.0,0.8539804369211197,0.5832465887069702,0.42699021846055984,0.07300978153944013,0.7860090136528015,1.0
arousal,S15,0.540625,0.5663716814159292,0.5116279069767442,0.5389997941963367,0.596875,0.6217008797653959,0.568561872909699,0.5951313763375474,0.6,0.6235294117647059,0.5733333333333334,0.5984313725490196,0.546875,0.6233766233766234,0.4313725490196078,0.5273745861981156,0.628125,0.6489675516224189,0.6046511627906976,0.6268093572065583,0.596875,0.6578249336870027,0.5095057034220533,0.583665318554528,EMATent,Tent,0.5984313725490196,0.08780956301022158,0.028377984657538713,0.044665524358191266,-0.014766053994491601,0.05613158214121072,-0.003299996211472145,0.05943157835268287,0.0,-0.011625207998221088,-0.07105678635090396,1,0,1,1,320,5,0.55625,0.625,0.04485218779502288,0,0,0.515625,0.59375,0.515625,0.59375,0.078125,0.09765625,0.8549359440803528,0.6764242053031921,0.25648078322410583,0.24351921677589417,0.7581013560295105,1.0,0.8360742211341858,0.6723350286483765,0.4180371105670929,0.08196288943290705,0.7632242918014527,1.0
arousal,S16,0.5294117647058824,0.0,0.6923076923076923,0.3461538461538461,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6063348416289592,0.5915492957746479,0.6200873362445415,0.6058183160095947,0.6380090497737556,0.6610169491525424,0.6116504854368932,0.6363337172947178,0.5565610859728507,0.3636363636363636,0.6597222222222222,0.5116792929292929,0.4479638009049774,0.3369565217391304,0.5271317829457365,0.4320441523424334,OFTTA,OFTTA,0.6363337172947178,0.16552544677544684,-0.12465442436542484,0.08589030618858728,-0.2042895649522844,0.2596644698557486,-0.03051540128512309,0.2596644698557486,-0.03051540128512309,0.2901798711408717,0.0,0,0,1,1,221,4,0.7561961206896552,0.9310344827586208,0.15539044376286326,0,0,0.734375,0.9310344827586208,0.734375,0.9310344827586208,0.19665948275862077,0.4509698275862069,0.884515106678009,0.7224241495132446,0.26535453200340264,0.23464546799659727,0.7940054684877396,1.0,0.8995620608329773,0.7224241495132446,0.44978103041648865,0.050218969583511304,0.7918423414230347,1.0
arousal,S17,0.4755244755244755,0.0,0.6445497630331753,0.3222748815165877,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.5559440559440559,0.5605536332179931,0.5512367491166078,0.5558951911673005,0.6958041958041958,0.7289719626168224,0.6533864541832669,0.6911792084000447,0.4755244755244755,0.5535714285714286,0.3644067796610169,0.4589891041162227,0.5979020979020979,0.5936395759717314,0.6020761245674741,0.5978578502696028,OFTTA,OFTTA,0.6911792084000447,0.136714222599635,-0.23219010428382197,0.27558296875301513,-0.09332135813044184,0.2336203096507128,-0.1352840172327442,0.2336203096507128,-0.1352840172327442,0.368904326883457,0.0,0,0,1,1,286,5,0.73125,1.0,0.15226159643849793,1,0,0.59375,1.0,0.40625,1.0,0.59375,0.3828125,0.7016626000404358,0.2118279337882995,0.21049878001213068,0.28950121998786926,0.768450403213501,1.0,0.7710101127624511,0.2118279337882995,0.38550505638122556,0.11449494361877437,0.7363470554351806,1.0
arousal,S18,0.6196078431372549,0.4756756756756757,0.7015384615384616,0.5886070686070686,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.6862745098039216,0.6923076923076923,0.68,0.6861538461538461,0.7490196078431373,0.7480314960629921,0.75,0.7490157480314961,0.5568627450980392,0.3687150837988827,0.6586102719033232,0.513662677851103,0.5333333333333333,0.4413145539906103,0.5993265993265994,0.5203205766586049,OFTTA,OFTTA,0.7490157480314961,-0.0749443907559656,-0.2353530701803931,-0.0682864919484637,-0.2286951713728912,0.09754677754677754,-0.06286190187764995,0.09754677754677754,-0.06286190187764995,0.1604086794244275,0.0,0,0,0,0,255,4,0.6315104166666666,0.6666666666666666,0.030675049451535787,0,0,0.65625,0.6666666666666666,0.34375,0.3333333333333333,0.010416666666666685,0.18055555555555558,0.6751574277877808,0.4659685492515564,0.20254722833633423,0.2974527716636658,0.8932875245809555,1.0,0.6931333839893341,0.5290108323097229,0.34656669199466705,0.15343330800533295,0.8867309540510178,1.0
arousal,S19,0.6915422885572139,0.3404255319148936,0.7987012987012987,0.5695634153080962,0.4825870646766169,0.4285714285714285,0.5272727272727272,0.4779220779220778,0.4825870646766169,0.4285714285714285,0.5272727272727272,0.4779220779220778,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.6716417910447762,0.34,0.7814569536423841,0.5607284768211921,0.6019900497512438,0.3846153846153846,0.7058823529411765,0.5452488687782806,Source,Source,0.5695634153080962,-0.008834938486904087,-0.008834938486904087,-0.024314546529815573,-0.024314546529815573,-0.09164133738601837,-0.09164133738601837,-0.09164133738601837,-0.09164133738601837,-0.07205097749715089,-0.07205097749715089,0,0,0,0,201,4,0.6987847222222222,0.90625,0.1988794655346363,0,0,0.5,0.8888888888888888,0.5,0.1111111111111111,0.3888888888888889,0.40046296296296297,0.6530817523598671,0.4847395122051239,0.1959245257079601,0.30407547429203985,0.8533092737197876,1.0,0.6600736305117607,0.4692699611186981,0.33003681525588036,0.16996318474411962,0.8600969314575195,1.0
arousal,S20,0.4204946996466431,0.59,0.0120481927710843,0.3010240963855422,0.4593639575971731,0.4354243542435424,0.4813559322033898,0.4583901432234661,0.4628975265017668,0.437037037037037,0.4864864864864865,0.4617617617617617,0.3851590106007067,0.3741007194244604,0.3958333333333333,0.3849670263788969,0.568904593639576,0.5307692307692308,0.6013071895424836,0.5660382101558572,0.6042402826855123,0.5658914728682171,0.6363636363636364,0.6011275546159267,EmaTentCaseS00E50B50M070,Tent,0.4617617617617617,0.26501411377031503,0.1042764483940955,0.30010345823038453,0.139365792854165,0.15736604683792393,-0.0033716185382955954,0.16073766537621953,0.0,0.08394292999335473,-0.0767947353828648,1,1,1,1,283,5,0.734375,1.0,0.16741369044973592,1,0,0.5625,1.0,0.5625,0.0,0.5625,0.4140625,0.8323004186153412,0.3597964346408844,0.24969012558460232,0.25030987441539765,0.8167235612869262,1.0,0.8316747069358825,0.3207914233207702,0.41583735346794126,0.08416264653205868,0.8186192750930786,1.0
