target,feature,pearson_r,pearson_p,spearman_r,spearman_p
EMATent_gain_vs_best_baseline,Norm_gain_vs_source,-0.6529585432382021,9.179880123989268e-05,-0.5559510567296997,0.0014235515670763554
EMATent_gain_vs_best_baseline,OFTTA_gain_vs_source,-0.7095330035912304,1.131955398484447e-05,-0.6307007786429366,0.00018681317068435378
EMATent_gain_vs_source,Tent_gain_vs_source,0.44649169512800857,0.013386165888559945,0.5261401557285873,0.0028227430174319165
EMATent_gain_vs_source,Norm_gain_vs_source,0.4451938843586623,0.013690717813331242,0.5208008898776418,0.0031705052538294125
EMATent_gain_vs_source,OFTTA_gain_vs_source,0.3618817458612127,0.049406864991037816,0.450055617352614,0.01257879195299962
EMATent_gain_vs_source,num_windows,0.46714869693855604,0.009249943785109469,0.37178774287241634,0.043072307712089024
EMATent_gain_vs_source,mean_abs_batch_label1_change,0.40287838122497643,0.02728652330739697,0.36240266963292544,0.049056340040641765
EMATent_gain_vs_source,num_batches,0.39718898722896245,0.029753827136263386,0.3296941783977418,0.07520660948360987
EMATent_gain_vs_source,mean_majority_ratio,0.25947185175771803,0.16616058913960993,0.25876070913262733,0.1673661961079793
EMATent_gain_vs_source,single_class_batches,0.25581753414579084,0.1724218306703323,0.22444758524297015,0.2331042699996315
EMATent_gain_vs_source,max_majority_ratio,0.21412613875081693,0.25586362663537965,0.18745730624910947,0.3212231059829488
EMATent_gain_vs_source,std_majority_ratio,0.18729192505628817,0.3216579607831733,0.13414905450500555,0.4797231897609263
EMATent_gain_vs_source,full_single_class_batches,0.10433183695589948,0.5832330817532461,0.09627854781311669,0.6127792490434809
EMATent_gain_vs_source,default_ema_mean_raw_gate,-0.10100134616731084,0.5953759499437751,0.02469410456062291,0.8969402818929877
EMATent_gain_vs_source,default_ema_mean_effective_batch_weight,-0.10100134616731088,0.5953759499437751,0.02469410456062291,0.8969402818929877
EMATent_gain_vs_source,best_ema_mean_raw_gate,-0.07409683622343248,0.6971757107212565,0.0046718576195773085,0.9804525192051992
EMATent_gain_vs_source,best_ema_mean_effective_batch_weight,-0.0740968362234325,0.6971757107212565,0.0046718576195773085,0.9804525192051992
EMATent_gain_vs_source,default_ema_mean_confidence,0.055381384866567004,0.7713035886535635,-0.029143492769744164,0.8784968881047432
EMATent_gain_vs_source,batch_label1_drift,-0.17892352113920812,0.3441349030941716,-0.18446818436222304,0.32913871883238366
EMATent_gain_vs_source,Source_MacroF1,-0.5116986907463733,0.0038486051589790506,-0.4687430478309232,0.008981476656665975
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,num_windows,0.26559523366550875,0.15603417017564242,0.3453109377247099,0.06163198552703085
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,num_batches,0.3205399989230662,0.08417299835900836,0.33412290616726376,0.0711424017404001
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_raw_gate,0.3144249247008076,0.0906034226414029,0.15550611790878754,0.4118971733664477
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_effective_batch_weight,0.3144249247008075,0.0906034226414029,0.15550611790878754,0.4118971733664477
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,std_majority_ratio,0.15593034151529178,0.41060699738476064,0.1474972191323693,0.4366773237583305
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,single_class_batches,0.13772562343927147,0.46797961042276626,0.12390319185358534,0.5141882897267464
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,best_ema_mean_raw_gate,0.33970563928508807,0.06626402267340548,0.1096774193548387,0.5639751403814935
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,best_ema_mean_effective_batch_weight,0.339705639285088,0.06626402267340566,0.1096774193548387,0.5639751403814935
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,max_majority_ratio,0.05628461222392903,0.7676743825365281,0.0637158035676107,0.738004549323339
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Source_MacroF1,0.14398897739805538,0.44778219802421443,0.060734149054505006,0.7498675075562045
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_abs_batch_label1_change,0.005180828073422881,0.97832341115718,0.01757508342602892,0.9265556109768435
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,batch_label1_drift,0.021071629937209308,0.911995409770705,-0.014908767614317182,0.9376744890468541
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,full_single_class_batches,-0.22537929531638531,0.23111887894538627,-0.0320928492710389,0.8663050202483772
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,-0.08778311576744313,0.6446049910636764,-0.043831349698304024,0.8181046882237056
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,default_ema_mean_confidence,-0.29822279851336514,0.10944492780055558,-0.12747497219132367,0.5020370696480299
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Tent_gain_vs_source,-0.4743218209254939,0.008093221719749372,-0.36017797552836484,0.050567202193642705
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Norm_gain_vs_source,-0.4761571780625547,0.00781774630289177,-0.36151279199110126,0.04965632965138441
EmaTentCaseS00E50B50M070_gain_vs_best_baseline,OFTTA_gain_vs_source,-0.5419098321868346,0.0019805677992383165,-0.4451612903225806,0.013698440318377015
EmaTentCaseS00E50B50M070_gain_vs_source,Tent_gain_vs_source,0.6106386379892643,0.00033872257197916896,0.6320355951056729,0.00017929751244419735
