Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EmaTentCaseS20E50B30M060_Acc,EmaTentCaseS20E50B30M060_F1_0,EmaTentCaseS20E50B30M060_F1_1,EmaTentCaseS20E50B30M060_MacroF1,EmaTentCaseS20E50B30M065_Acc,EmaTentCaseS20E50B30M065_F1_0,EmaTentCaseS20E50B30M065_F1_1,EmaTentCaseS20E50B30M065_MacroF1,EmaTentCaseS20E50B30M070_Acc,EmaTentCaseS20E50B30M070_F1_0,EmaTentCaseS20E50B30M070_F1_1,EmaTentCaseS20E50B30M070_MacroF1,EmaTentCaseS10E50B40M070_Acc,EmaTentCaseS10E50B40M070_F1_0,EmaTentCaseS10E50B40M070_F1_1,EmaTentCaseS10E50B40M070_MacroF1,EmaTentCaseS10E50B40M075_Acc,EmaTentCaseS10E50B40M075_F1_0,EmaTentCaseS10E50B40M075_F1_1,EmaTentCaseS10E50B40M075_MacroF1,EmaTentCaseS10E50B40M080_Acc,EmaTentCaseS10E50B40M080_F1_0,EmaTentCaseS10E50B40M080_F1_1,EmaTentCaseS10E50B40M080_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,EmaTentCaseS00E50B50M075_Acc,EmaTentCaseS00E50B50M075_F1_0,EmaTentCaseS00E50B50M075_F1_1,EmaTentCaseS00E50B50M075_MacroF1,EmaTentCaseS00E50B50M080_Acc,EmaTentCaseS00E50B50M080_F1_0,EmaTentCaseS00E50B50M080_F1_1,EmaTentCaseS00E50B50M080_MacroF1,EmaTentCaseS10E40B50M075_Acc,EmaTentCaseS10E40B50M075_F1_0,EmaTentCaseS10E40B50M075_F1_1,EmaTentCaseS10E40B50M075_MacroF1
S11,0.41333333333333333,0.5849056603773585,0.0,0.29245283018867924,0.55,0.5229681978798587,0.5741324921135647,0.5485503449967117,0.55,0.5229681978798587,0.5741324921135647,0.5485503449967117,0.5433333333333333,0.5623003194888179,0.5226480836236934,0.5424742015562556,0.5433333333333333,0.5159010600706714,0.5678233438485805,0.541862201959626,0.58,0.5594405594405595,0.5987261146496815,0.5790833370451205,0.5733333333333334,0.5555555555555556,0.5897435897435898,0.5726495726495726,0.5533333333333333,0.5347222222222222,0.5705128205128205,0.5526175213675213,0.5733333333333334,0.5586206896551724,0.5870967741935483,0.5728587319243603,0.55,0.5360824742268041,0.5631067961165048,0.5495946351716545,0.5433333333333333,0.5159010600706714,0.5678233438485805,0.541862201959626,0.5766666666666667,0.5543859649122806,0.5968253968253968,0.5756056808688388,0.5633333333333334,0.5403508771929825,0.5841269841269842,0.5622389306599833,0.5666666666666667,0.5454545454545454,0.5859872611464968,0.565720903300521,0.5633333333333334,0.5403508771929825,0.5841269841269842,0.5622389306599833
S12,0.5080645161290323,0.6737967914438503,0.0,0.33689839572192515,0.7943548387096774,0.8075471698113208,0.7792207792207793,0.79338397451605,0.7943548387096774,0.8075471698113208,0.7792207792207793,0.79338397451605,0.6774193548387096,0.7297297297297297,0.6,0.6648648648648648,0.6895161290322581,0.72,0.6515837104072398,0.68579185520362,0.7338709677419355,0.7480916030534351,0.717948717948718,0.7330201605010765,0.7258064516129032,0.7443609022556391,0.7043478260869566,0.7243543641712978,0.7137096774193549,0.73992673992674,0.6816143497757847,0.7107705448512623,0.7217741935483871,0.7434944237918215,0.6960352422907489,0.7197648330412851,0.6935483870967742,0.7246376811594203,0.6545454545454545,0.6895915678524374,0.6532258064516129,0.6950354609929078,0.5981308411214953,0.6465831510572015,0.717741935483871,0.7307692307692307,0.7033898305084746,0.7170795306388527,0.7056451612903226,0.7286245353159851,0.6784140969162996,0.7035193161161424,0.6774193548387096,0.7122302158273381,0.6330275229357798,0.672628869381559,0.6733870967741935,0.7096774193548387,0.6267281105990783,0.6682027649769585
S13,0.7689530685920578,0.8279569892473119,0.6483516483516484,0.7381543187994801,0.5631768953068592,0.6824146981627297,0.30057803468208094,0.49149636642240535,0.5595667870036101,0.6789473684210526,0.2988505747126437,0.48889897156684814,0.5306859205776173,0.6306818181818182,0.3564356435643564,0.4935587308730873,0.6462093862815884,0.7100591715976331,0.5462962962962963,0.6281777339469647,0.6353790613718412,0.7106017191977078,0.5073170731707317,0.6089593961842197,0.631768953068592,0.7034883720930233,0.5142857142857142,0.6088870431893687,0.6498194945848376,0.717201166180758,0.5402843601895735,0.6287427631851658,0.628158844765343,0.7031700288184438,0.5024154589371981,0.6027927438778209,0.628158844765343,0.6997084548104956,0.5118483412322274,0.6057783980213616,0.6425992779783394,0.7130434782608696,0.5263157894736842,0.6196796338672769,0.5812274368231047,0.6777777777777778,0.4020618556701031,0.5399198167239405,0.5776173285198556,0.6685552407932012,0.417910447761194,0.5432328442771976,0.5812274368231047,0.6685714285714286,0.43137254901960786,0.5499719887955182,0.5884476534296029,0.6761363636363636,0.43564356435643564,0.5558899639963997
S14,0.6721311475409836,0.803921568627451,0.0,0.4019607843137255,0.6352459016393442,0.7244582043343654,0.46060606060606063,0.592532132470213,0.6352459016393442,0.7244582043343654,0.46060606060606063,0.592532132470213,0.5737704918032787,0.6867469879518072,0.3333333333333333,0.5100401606425703,0.6270491803278688,0.7636363636363637,0.11650485436893204,0.44007060900264783,0.6229508196721312,0.7513513513513513,0.22033898305084745,0.4858451672010994,0.6147540983606558,0.7486631016042781,0.17543859649122806,0.46205084904775306,0.6311475409836066,0.7631578947368421,0.16666666666666666,0.4649122807017544,0.6065573770491803,0.7377049180327869,0.21311475409836064,0.4754098360655738,0.6188524590163934,0.752,0.17699115044247787,0.46449557522123897,0.6311475409836066,0.765625,0.1346153846153846,0.4501201923076923,0.5942622950819673,0.7195467422096318,0.26666666666666666,0.4931067044381492,0.5819672131147541,0.7166666666666667,0.203125,0.45989583333333334,0.6188524590163934,0.7506702412868632,0.19130434782608696,0.4709872945564751,0.6229508196721312,0.7540106951871658,0.19298245614035087,0.47349657566375836
S15,0.465625,0.38267148014440433,0.5289256198347108,0.45579854998955754,0.678125,0.7565011820330969,0.5253456221198156,0.6409234020764563,0.678125,0.7565011820330969,0.5253456221198156,0.6409234020764563,0.69375,0.7782805429864253,0.5050505050505051,0.6416655240184652,0.55,0.6149732620320856,0.45864661654135336,0.5368099392867195,0.60625,0.6785714285714286,0.49193548387096775,0.5852534562211982,0.584375,0.6545454545454545,0.47843137254901963,0.5664884135472371,0.559375,0.6279683377308707,0.45977011494252873,0.5438692263366998,0.55625,0.634020618556701,0.4365079365079365,0.5352642775323188,0.546875,0.6233766233766234,0.43137254901960786,0.5273745861981156,0.5375,0.612565445026178,0.4263565891472868,0.5194610170867324,0.571875,0.656641604010025,0.4315352697095436,0.5440884368597843,0.55625,0.6358974358974359,0.432,0.5339487179487179,0.553125,0.6304909560723514,0.43478260869565216,0.5326367823840018,0.553125,0.6304909560723514,0.43478260869565216,0.5326367823840018
S16,0.45248868778280543,0.6134185303514377,0.06201550387596899,0.33771701711370333,0.6063348416289592,0.6789667896678967,0.49122807017543857,0.5850974299216676,0.6063348416289592,0.6789667896678967,0.49122807017543857,0.5850974299216676,0.6244343891402715,0.7313915857605178,0.37593984962406013,0.553665717692289,0.5475113122171946,0.6644295302013423,0.3055555555555556,0.48499254287844895,0.5610859728506787,0.6734006734006734,0.3310344827586207,0.5022175780796471,0.5565610859728507,0.668918918918919,0.3287671232876712,0.4988430211032951,0.5520361990950227,0.6666666666666666,0.31724137931034485,0.49195402298850577,0.5565610859728507,0.6666666666666666,0.33783783783783783,0.5022522522522522,0.5475113122171946,0.6621621621621622,0.3150684931506849,0.48861532765642357,0.5475113122171946,0.6621621621621622,0.3150684931506849,0.48861532765642357,0.5565610859728507,0.6597222222222222,0.36363636363636365,0.5116792929292929,0.5475113122171946,0.6551724137931034,0.34210526315789475,0.49863883847549906,0.5384615384615384,0.6506849315068494,0.32,0.48534246575342466,0.5384615384615384,0.6506849315068494,0.32,0.48534246575342466
S17,0.6398601398601399,0.7444168734491315,0.3905325443786982,0.5674747089139149,0.541958041958042,0.5919003115264797,0.47808764940239046,0.534993980464435,0.541958041958042,0.5919003115264797,0.47808764940239046,0.534993980464435,0.486013986013986,0.5787965616045845,0.34080717488789236,0.4598018682462384,0.6433566433566433,0.7315789473684211,0.46875,0.6001644736842106,0.5944055944055944,0.6759776536312849,0.45794392523364486,0.5669607894324649,0.6048951048951049,0.6887052341597796,0.45933014354066987,0.5740176888502247,0.6363636363636364,0.7204301075268817,0.48,0.6002150537634409,0.5664335664335665,0.6477272727272727,0.43636363636363634,0.5420454545454545,0.583916083916084,0.6685236768802229,0.4413145539906103,0.5549191154354166,0.6503496503496503,0.7340425531914894,0.4897959183673469,0.6119192357794181,0.548951048951049,0.6260869565217392,0.43171806167400884,0.5289025090978741,0.5699300699300699,0.6475644699140402,0.4484304932735426,0.5479974815937914,0.5804195804195804,0.6629213483146067,0.4444444444444444,0.5536828963795255,0.5979020979020979,0.6814404432132964,0.4549763033175355,0.568208373265416
S18,0.7254901960784313,0.7244094488188977,0.7265625,0.7254859744094488,0.5843137254901961,0.6214285714285714,0.5391304347826087,0.5802795031055901,0.5843137254901961,0.6214285714285714,0.5391304347826087,0.5802795031055901,0.5843137254901961,0.6442953020134228,0.5,0.5721476510067114,0.615686274509804,0.6549295774647887,0.5663716814159292,0.610650629440359,0.611764705882353,0.6644067796610169,0.5395348837209303,0.6019708316909735,0.611764705882353,0.6644067796610169,0.5395348837209303,0.6019708316909735,0.615686274509804,0.6643835616438356,0.5504587155963303,0.607421138620083,0.6235294117647059,0.673469387755102,0.5555555555555556,0.6145124716553287,0.6196078431372549,0.662020905923345,0.5650224215246636,0.6135216637240043,0.6196078431372549,0.6643598615916955,0.5610859728506787,0.6127229172211871,0.592156862745098,0.6462585034013606,0.5185185185185185,0.5823885109599396,0.6235294117647059,0.6666666666666666,0.5675675675675675,0.617117117117117,0.6,0.6482758620689655,0.5363636363636364,0.5923197492163009,0.6039215686274509,0.6552901023890785,0.5345622119815668,0.5949261571853226
S19,0.7014925373134329,0.7637795275590551,0.5945945945945946,0.6791870610768249,0.582089552238806,0.6347826086956522,0.5116279069767442,0.5732052578361981,0.582089552238806,0.6347826086956522,0.5116279069767442,0.5732052578361981,0.6218905472636815,0.6779661016949152,0.5421686746987951,0.6100673881968552,0.5671641791044776,0.6614785992217899,0.4,0.5307392996108949,0.5472636815920398,0.6459143968871596,0.3724137931034483,0.5091640949953039,0.5572139303482587,0.6536964980544747,0.38620689655172413,0.5199516973030994,0.5621890547263682,0.65625,0.3972602739726027,0.5267551369863014,0.5671641791044776,0.6533864541832669,0.423841059602649,0.538613756892958,0.5771144278606966,0.6640316205533597,0.42953020134228187,0.5467809109478208,0.5920398009950248,0.6746031746031746,0.4533333333333333,0.563968253968254,0.572139303482587,0.6532258064516129,0.44155844155844154,0.5473921240050272,0.5870646766169154,0.6693227091633466,0.4503311258278146,0.5598269174955806,0.5920398009950248,0.6746031746031746,0.4533333333333333,0.563968253968254,0.5970149253731343,0.6798418972332015,0.4563758389261745,0.568108868079688
S20,0.5053003533568905,0.6111111111111112,0.32038834951456313,0.4657497303128372,0.568904593639576,0.6139240506329114,0.512,0.5629620253164558,0.568904593639576,0.6139240506329114,0.512,0.5629620253164558,0.5335689045936396,0.6373626373626373,0.3465346534653465,0.4919486454139919,0.6289752650176679,0.7300771208226221,0.4067796610169492,0.5684283909197856,0.6148409893992933,0.7154046997389034,0.40437158469945356,0.5598881422191785,0.6183745583038869,0.7216494845360825,0.39325842696629215,0.5574539557511873,0.6360424028268551,0.7352185089974294,0.4180790960451977,0.5766488025213136,0.6183745583038869,0.7172774869109948,0.41304347826086957,0.5651604825859322,0.6325088339222615,0.7333333333333333,0.4090909090909091,0.5712121212121212,0.6360424028268551,0.7365728900255755,0.4114285714285714,0.5740007307270735,0.6183745583038869,0.7157894736842105,0.41935483870967744,0.567572156196944,0.6183745583038869,0.7172774869109948,0.41304347826086957,0.5651604825859322,0.6219081272084805,0.7235142118863049,0.4022346368715084,0.5628744243789067,0.6289752650176679,0.7300771208226221,0.4067796610169492,0.5684283909197856
S21,0.6284722222222222,0.3668639053254438,0.7371007371007371,0.5519823212130904,0.6041666666666666,0.5681818181818182,0.6346153846153846,0.6013986013986015,0.6041666666666666,0.5681818181818182,0.6346153846153846,0.6013986013986015,0.5381944444444444,0.5581395348837209,0.5163636363636364,0.5372515856236786,0.6284722222222222,0.49765258215962443,0.7052341597796143,0.6014433709696194,0.5520833333333334,0.49411764705882355,0.5981308411214953,0.5461242440901595,0.5729166666666666,0.4896265560165975,0.6328358208955224,0.5612311884560599,0.5972222222222222,0.48214285714285715,0.6704545454545454,0.5762987012987013,0.59375,0.5447470817120622,0.6332288401253918,0.588987960918727,0.6145833333333334,0.5316455696202531,0.672566371681416,0.6021059706508345,0.6388888888888888,0.5272727272727272,0.7078651685393258,0.6175689479060265,0.5729166666666666,0.5393258426966292,0.6019417475728155,0.5706337951347223,0.5972222222222222,0.5503875968992248,0.6352201257861635,0.5928038613426941,0.6354166666666666,0.5748987854251012,0.6808510638297872,0.6278749246274442,0.6527777777777778,0.5867768595041323,0.7005988023952096,0.643687830949671
S22,0.408,0.0,0.5795454545454546,0.2897727272727273,0.648,0.674074074074074,0.6173913043478261,0.6457326892109501,0.648,0.674074074074074,0.6173913043478261,0.6457326892109501,0.66,0.750733137829912,0.46540880503144655,0.6080709714306793,0.504,0.5947712418300654,0.36082474226804123,0.47779799204905327,0.52,0.620253164556962,0.34782608695652173,0.48403962575674186,0.512,0.6089743589743589,0.35106382978723405,0.4800190943807965,0.512,0.6064516129032258,0.35789473684210527,0.48217317487266553,0.536,0.6233766233766234,0.3958333333333333,0.5096049783549783,0.52,0.6026490066225165,0.3939393939393939,0.4982942002809552,0.52,0.5945945945945946,0.4117647058823529,0.5031796502384738,0.576,0.6490066225165563,0.46464646464646464,0.5568265435815105,0.564,0.6449511400651465,0.43523316062176165,0.5400921503434541,0.556,0.6384364820846905,0.42487046632124353,0.531653474202967,0.564,0.6426229508196721,0.441025641025641,0.5418242959226566
