Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1
S23,0.27983539094650206,0.13793103448275862,0.38162544169611307,0.25977823808943584,0.7242798353909465,0.7615658362989324,0.6731707317073171,0.7173682840031248,0.7530864197530864,0.8026315789473685,0.6703296703296703,0.7364806246385194,0.4773662551440329,0.6139817629179332,0.1910828025477707,0.4025322827328519,0.4732510288065844,0.5789473684210527,0.2967032967032967,0.4378253325621747
S24,0.5786802030456852,0.49696969696969695,0.6375545851528385,0.5672621410612677,0.5482233502538071,0.5700483091787439,0.5240641711229946,0.5470562401508693,0.5380710659898477,0.631578947368421,0.38095238095238093,0.506265664160401,0.4517766497461929,0.4489795918367347,0.45454545454545453,0.4517625231910946,0.47715736040609136,0.5164319248826291,0.430939226519337,0.4736855757009831
S25,0.44081632653061226,0.6118980169971672,0.0,0.3059490084985836,0.563265306122449,0.5327510917030568,0.5900383141762452,0.561394702939651,0.4897959183673469,0.6105919003115264,0.2603550295857988,0.4354734649486626,0.43673469387755104,0.6079545454545454,0.0,0.3039772727272727,0.4326530612244898,0.5994236311239193,0.027972027972027972,0.31369782954797365
S26,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613,0.5808580858085809,0.6361031518624641,0.5058365758754864,0.5709698638689753,0.5907590759075908,0.675392670157068,0.44642857142857145,0.5609106207928197,0.6336633663366337,0.7459954233409611,0.3431952662721893,0.5445953448065752,0.594059405940594,0.7453416149068323,0.0,0.37267080745341613
S27,0.37694704049844235,0.5391705069124424,0.038461538461538464,0.2888160226869904,0.5950155763239875,0.5637583892617449,0.622093023255814,0.5929257062587794,0.5607476635514018,0.5052631578947369,0.6050420168067226,0.5551525873507297,0.4953271028037383,0.5263157894736842,0.46,0.49315789473684213,0.43302180685358255,0.5210526315789473,0.3053435114503817,0.4131980715146645
S28,0.3933649289099526,0.0,0.564625850340136,0.282312925170068,0.6966824644549763,0.7419354838709677,0.632183908045977,0.6870596959584724,0.7156398104265402,0.7986577181208053,0.5161290322580645,0.657393375189435,0.41232227488151657,0.17333333333333334,0.5441176470588235,0.3587254901960784,0.4028436018957346,0.16,0.5367647058823529,0.3483823529411765
S29,0.4739583333333333,0.5665236051502146,0.33112582781456956,0.4488247164823921,0.4947916666666667,0.48128342245989303,0.5076142131979695,0.49444881782893124,0.4322916666666667,0.47342995169082125,0.384180790960452,0.4288053713256366,0.5833333333333334,0.3442622950819672,0.6946564885496184,0.5194593918157928,0.5885416666666666,0.3875968992248062,0.6901960784313725,0.5388964888280894
S30,0.44314868804664725,0.5820568927789934,0.16593886462882096,0.3739978787039072,0.5539358600583091,0.5565217391304348,0.5513196480938416,0.5539206936121381,0.60932944606414,0.665,0.5314685314685315,0.5982342657342657,0.6967930029154519,0.6708860759493671,0.7189189189189189,0.694902497434143,0.673469387755102,0.6853932584269663,0.6606060606060606,0.6729996595165135
Average,0.49587014603121765,0.46862478766805793,0.3450774926000475,0.40685114013405266,0.5672513942729908,0.5567370314495232,0.5680152843612181,0.5623761579053707,0.5663364498590558,0.611783881626191,0.48098169994410256,0.5463827907851468,0.5337102259300858,0.5284312283428386,0.4695017316604408,0.49896648000163973,0.5250392952906533,0.5099827716799029,0.4376468132403,0.47381479246010133
Std,0.09873731077338332,0.22428560577138262,0.28569187402889856,0.11269250157888502,0.09934253135844719,0.10695382235896704,0.110552058115776,0.09882393893551736,0.11193520677257111,0.11056793336006053,0.1527413972332879,0.11262792329362044,0.09659722563737418,0.1315594170583903,0.20812241316866664,0.10905998303765012,0.1002581981625835,0.17880803746324173,0.23634671290066586,0.11900008919174138
